Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP535-555HQ"
Comment,""
Public,1
wavedataset
300,5.5E-05
301,4.3E-05
302,2.1E-05
303,5E-05
304,1.2E-05
305,-1.9E-05
306,2.4E-05
307,2.6E-05
308,-3E-06
309,3.7E-05
310,3E-06
311,2E-06
312,3.3E-05
313,5.4E-05
314,5.4E-05
315,3E-05
316,2.1E-05
317,5.6E-05
318,5.9E-05
319,2.6E-05
320,2.9E-05
321,3.3E-05
322,3E-05
323,4E-05
324,3.9E-05
325,4.2E-05
326,4E-05
327,3.9E-05
328,1.4E-05
329,-8E-06
330,1.5E-05
331,4.6E-05
332,3.9E-05
333,2.9E-05
334,3.9E-05
335,3.8E-05
336,1.6E-05
337,2.6E-05
338,3.4E-05
339,2.1E-05
340,2.6E-05
341,5.1E-05
342,3.5E-05
343,1.6E-05
344,6.4E-05
345,3.9E-05
346,3.6E-05
347,5.1E-05
348,2.7E-05
349,3.2E-05
350,3.8E-05
351,-2.9E-05
352,-5.7E-05
353,-3.5E-05
354,6.1E-05
355,1.8E-05
356,-3.5E-05
357,4.9E-05
358,5.5E-05
359,3.9E-05
360,3.4E-05
361,-7E-06
362,1.6E-05
363,7.6E-05
364,6.8E-05
365,4.3E-05
366,4.1E-05
367,1.4E-05
368,2.7E-05
369,2.1E-05
370,8E-06
371,3.5E-05
372,3E-06
373,8.3E-05
374,1.7E-05
375,-5.6E-05
376,-5E-06
377,8.6E-05
378,6.6E-05
379,0.000105
380,8.4E-05
381,7.4E-05
382,5.9E-05
383,1.3E-05
384,2.2E-05
385,3.1E-05
386,1.7E-05
387,3.6E-05
388,0.000106
389,2.8E-05
390,5.9E-05
391,1.9E-05
392,4.7E-05
393,2.3E-05
394,2.8E-05
395,4.2E-05
396,5.3E-05
397,5.8E-05
398,5.1E-05
399,8.9E-05
400,4.1E-05
401,3.9E-05
402,4.7E-05
403,5.2E-05
404,6.2E-05
405,3.4E-05
406,7.6E-05
407,-1E-06
408,1E-05
409,6.4E-05
410,4.3E-05
411,2.7E-05
412,4.3E-05
413,2.8E-05
414,8E-06
415,5.1E-05
416,9E-07
417,2.7E-05
418,4.9E-05
419,3.6E-05
420,4.9E-05
421,5.9E-05
422,3E-05
423,1.7E-05
424,3.9E-05
425,2.1E-05
426,0.000117
427,4.6E-05
428,7.4E-05
429,2.1E-05
430,-2E-06
431,8.2E-05
432,2.1E-05
433,5.5E-05
434,5.7E-05
435,-6E-06
436,2.8E-05
437,8.7E-05
438,5.5E-05
439,5.7E-05
440,7.3E-05
441,2.8E-05
442,-1E-06
443,6.4E-05
444,7.6E-05
445,5.4E-05
446,2.8E-05
447,3.7E-05
448,7.7E-05
449,2.4E-05
450,4E-05
451,3.1E-05
452,4E-05
453,3.6E-05
454,2.7E-05
455,5.3E-05
456,4.8E-05
457,4.3E-05
458,5.7E-05
459,3.6E-05
460,6E-05
461,4.8E-05
462,6.3E-05
463,6.8E-05
464,4.1E-05
465,6.2E-05
466,3.1E-05
467,2.4E-05
468,2.2E-05
469,6.6E-05
470,6.4E-05
471,1.6E-05
472,-1.8E-05
473,-2E-06
474,3.1E-05
475,3.4E-05
476,6.7E-05
477,5.5E-05
478,2.1E-05
479,-2E-06
480,2.3E-05
481,3.1E-05
482,4.9E-05
483,4.5E-05
484,4.4E-05
485,5.2E-05
486,5E-05
487,5.6E-05
488,5.6E-05
489,4.3E-05
490,4.9E-05
491,7.1E-05
492,7.6E-05
493,7.7E-05
494,3.6E-05
495,4.8E-05
496,-8E-06
497,2E-05
498,5.6E-05
499,5E-05
500,2.2E-05
501,4.7E-05
502,6.6E-05
503,6.9E-05
504,4.8E-05
505,5.4E-05
506,5.7E-05
507,6.8E-05
508,9.5E-05
509,0.000101
510,0.000132
511,0.000185
512,0.000261
513,0.000358
514,0.000516
515,0.000759
516,0.001168
517,0.001828
518,0.002971
519,0.004952
520,0.008472
521,0.014754
522,0.026422
523,0.048636
524,0.092544
525,0.181938
526,0.369774
527,0.784797
528,1.737127
529,3.935871
530,8.972443
531,19.526141
532,36.893807
533,56.937457
534,72.633104
535,81.471631
536,85.894256
537,88.3225
538,89.407635
539,89.316745
540,88.621401
541,88.060748
542,88.070677
543,88.731112
544,89.528556
545,90.054564
546,90.055298
547,89.368171
548,87.785092
549,85.886971
550,84.716582
551,82.779753
552,77.079715
553,63.290533
554,25.467258
555,9.030865
556,0.895509
557,0.122393
558,0.02405
559,0.006197
560,0.002105
561,0.000934
562,0.00052
563,0.000323
564,0.00022
565,0.000183
566,0.000134
567,5.7E-05
568,6.9E-05
569,6.5E-05
570,9.2E-05
571,7.8E-05
572,4.7E-05
573,5.6E-05
574,5.3E-05
575,8.5E-05
576,9.1E-05
577,8.7E-05
578,6.2E-05
579,0
580,2.2E-05
581,2.3E-05
582,-3E-06
583,-1.1E-05
584,5.1E-05
585,7.1E-05
586,3.5E-05
587,4.4E-05
588,3.2E-05
589,3.4E-05
590,1.1E-05
591,3.1E-05
592,6.6E-05
593,6E-05
594,6.3E-05
595,5.8E-05
596,4.5E-05
597,2.8E-05
598,3.1E-05
599,8E-06
600,3E-06
601,7.7E-05
602,4.9E-05
603,3.6E-05
604,4.4E-05
605,3.7E-05
606,3.2E-05
607,5.9E-05
608,5.3E-05
609,2.4E-05
610,3.7E-05
611,6.1E-05
612,5E-06
613,3.3E-05
614,6E-06
615,1.6E-05
616,6.4E-05
617,9.1E-05
618,6E-05
619,5.1E-05
620,3.1E-05
621,2E-06
622,3.2E-05
623,2.3E-05
624,3.1E-05
625,4.8E-05
626,3.6E-05
627,3.7E-05
628,2.9E-05
629,2.3E-05
630,2.8E-05
631,2.3E-05
632,2.7E-05
633,1.9E-05
634,1.9E-05
635,3E-06
636,0
637,1.7E-05
638,4.3E-05
639,3.2E-05
640,1.4E-05
641,-8E-06
642,3.4E-05
643,6E-06
644,5E-06
645,5.3E-05
646,5.9E-05
647,6.5E-05
648,0.0001
649,3.7E-05
650,9.1E-05
651,3.4E-05
652,2.7E-05
653,1.3E-05
654,2.2E-05
655,-1.3E-05
656,1.8E-05
657,-4.2E-05
658,8.6E-05
659,2.1E-05
660,1.1E-05
661,5.6E-05
662,3.1E-05
663,1E-06
664,-1E-06
665,2.5E-05
666,-2.6E-05
667,2E-05
668,6.9E-05
669,2.5E-05
670,1.9E-05
671,1.6E-05
672,2.7E-05
673,4.3E-05
674,-1.6E-05
675,5.9E-05
676,2E-06
677,5E-06
678,3.4E-05
679,-1.6E-05
680,2E-06
681,-1.4E-05
682,1.4E-05
683,2.5E-05
684,1.7E-05
685,1.4E-05
686,3.3E-05
687,1.4E-05
688,2E-06
689,1.1E-05
690,-1.4E-05
691,-1.1E-05
692,4.5E-05
693,-6E-06
694,-1.6E-05
695,-2.6E-05
696,4.2E-05
697,5.3E-05
698,2E-05
699,-1E-06
700,1.4E-05
701,-3.9E-05
702,3E-05
703,6.4E-05
704,7.9E-05
705,7.7E-05
706,-1.1E-05
707,-3.4E-05
708,1.9E-05
709,2.2E-05
710,-5E-06
711,1.4E-05
712,3.8E-05
713,4.4E-05
714,8.2E-05
715,5.5E-05
716,-5E-06
717,1.3E-05
718,3E-05
719,-6E-06
720,-5E-06
721,-2.6E-05
722,7E-06
723,4.9E-05
724,1.9E-05
725,2.1E-05
726,6.2E-05
727,2.8E-05
728,7E-06
729,1E-05
730,-1E-06
731,9E-07
732,2.1E-05
733,5E-06
734,5E-06
735,5E-06
736,-1E-05
737,-9E-07
738,1.4E-05
739,2.7E-05
740,-8E-06
741,3.2E-05
742,5.2E-05
743,-5E-06
744,-2.7E-05
745,-9E-07
746,2.8E-05
747,2.8E-05
748,-1.3E-05
749,-3.4E-05
750,-3.1E-05
751,-5.1E-05
752,-2.1E-05
753,1.5E-05
754,-3.9E-05
755,-1.7E-05
756,8E-06
757,1.5E-05
758,4.8E-05
759,1.5E-05
760,1.7E-05
761,2.2E-05
762,7.4E-05
763,8.9E-05
764,-1.2E-05
765,2.6E-05
766,0.000101
767,3.6E-05
768,-1.2E-05
769,-2.7E-05
770,-2.4E-05
771,-1.5E-05
772,-1.2E-05
773,1.2E-05
774,2E-05
775,4.8E-05
776,4E-05
777,-1.6E-05
778,-5E-06
779,5.4E-05
780,1.1E-05
781,-4.3E-05
782,-3E-05
783,5E-05
784,4.7E-05
785,1.3E-05
786,9E-07
787,1.4E-05
788,4.6E-05
789,4.6E-05
790,3.3E-05
791,4.6E-05
792,3E-05
793,4.2E-05
794,5E-05
795,3.7E-05
796,1.8E-05
797,2.1E-05
798,1.2E-05
799,3E-06
800,1.6E-05
801,-1.5E-05
802,-4.2E-05
803,-6E-06
804,-6.6E-05
805,6.2E-05
806,6.2E-05
807,-1.9E-05
808,3.1E-05
809,8.6E-05
810,9.9E-05
811,0.000133
812,0.000206
813,0.000278
814,0.000421
815,0.000571
816,0.000941
817,0.001293
818,0.00194
819,0.003074
820,0.004517
821,0.005948
822,0.007528
823,0.008035
824,0.007997
825,0.00767
826,0.007027
827,0.006444
828,0.005965
829,0.005407
830,0.004889
831,0.004624
832,0.004575
833,0.00449
834,0.004347
835,0.004517
836,0.004689
837,0.004784
838,0.005004
839,0.005129
840,0.005422
841,0.005683
842,0.005823
843,0.006158
844,0.006432
845,0.006474
846,0.006547
847,0.006688
848,0.006776
849,0.006749
850,0.007008
851,0.007493
852,0.007523
853,0.007787
854,0.008173
855,0.007637
856,0.007895
857,0.008009
858,0.008089
859,0.008551
860,0.008414
861,0.00703
862,0.007771
863,0.007454
864,0.007483
865,0.00641
866,0.008269
867,0.007719
868,0.007999
869,0.007302
870,0.007564
871,0.006532
872,0.005524
873,0.003434
874,0.00451
875,0.007466
876,0.004824
877,0.009029
878,0.006376
879,0.003904
880,0.004455
881,0.001328
882,-0.00272
883,0.007394
884,-0.000326
885,0.002581
