Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP540-550"
Comment,""
Public,1
wavedataset
300,4.6E-05
301,4.3E-05
302,1.4E-05
303,3.8E-05
304,2E-05
305,1.6E-05
306,7.2E-05
307,5E-05
308,-1E-06
309,2.1E-05
310,6.2E-05
311,7.5E-05
312,4.8E-05
313,3.3E-05
314,-2.4E-05
315,-1.9E-05
316,2.6E-05
317,4E-05
318,3.4E-05
319,1E-06
320,4E-05
321,7.7E-05
322,7E-05
323,6.5E-05
324,4.5E-05
325,4.9E-05
326,8E-05
327,5.3E-05
328,9E-06
329,-1.6E-05
330,1.3E-05
331,5.6E-05
332,2.7E-05
333,3.9E-05
334,8.1E-05
335,5.5E-05
336,1.4E-05
337,1.5E-05
338,2.8E-05
339,5.3E-05
340,3.4E-05
341,2E-06
342,4.3E-05
343,4.8E-05
344,7E-05
345,5.9E-05
346,3.5E-05
347,5.7E-05
348,5.3E-05
349,2.7E-05
350,2.8E-05
351,2E-06
352,-5.3E-05
353,-1E-05
354,1E-05
355,3E-05
356,3.6E-05
357,4.2E-05
358,3.2E-05
359,3.6E-05
360,5.8E-05
361,-1.6E-05
362,2E-06
363,6.6E-05
364,8.3E-05
365,5.9E-05
366,1.3E-05
367,6.4E-05
368,4.6E-05
369,1.1E-05
370,3E-05
371,7.2E-05
372,1.5E-05
373,6.1E-05
374,2E-06
375,-2.1E-05
376,-1E-05
377,4.2E-05
378,9E-05
379,5.9E-05
380,6.1E-05
381,5.4E-05
382,3.4E-05
383,1.4E-05
384,-1.5E-05
385,4.5E-05
386,8E-06
387,1.5E-05
388,4.8E-05
389,3.6E-05
390,4.6E-05
391,2.8E-05
392,4.6E-05
393,0
394,3.9E-05
395,3.8E-05
396,3.6E-05
397,6.5E-05
398,-1.3E-05
399,7.7E-05
400,2.8E-05
401,1.3E-05
402,3.4E-05
403,6.5E-05
404,4.9E-05
405,4.8E-05
406,6.2E-05
407,1.6E-05
408,2E-05
409,7.1E-05
410,2.6E-05
411,6E-05
412,0
413,4.7E-05
414,7E-06
415,2.1E-05
416,6.6E-05
417,5E-05
418,5.5E-05
419,2.6E-05
420,1.7E-05
421,3.7E-05
422,0
423,3E-05
424,2.1E-05
425,3.7E-05
426,6.7E-05
427,8.2E-05
428,7.5E-05
429,4.9E-05
430,3E-06
431,3.1E-05
432,9E-06
433,5.7E-05
434,2.7E-05
435,5.7E-05
436,8.6E-05
437,4.4E-05
438,2.8E-05
439,3.4E-05
440,5.9E-05
441,2.1E-05
442,-1E-05
443,7.6E-05
444,4.3E-05
445,4.3E-05
446,-3E-06
447,2.5E-05
448,3.8E-05
449,4.4E-05
450,2.7E-05
451,2.9E-05
452,3E-05
453,4.4E-05
454,3.7E-05
455,5.8E-05
456,3.3E-05
457,5.5E-05
458,6.2E-05
459,3.5E-05
460,4.1E-05
461,2.3E-05
462,3.2E-05
463,5.5E-05
464,2.3E-05
465,6.1E-05
466,4.4E-05
467,4.7E-05
468,3.6E-05
469,4.4E-05
470,7.9E-05
471,4.1E-05
472,3.6E-05
473,3.6E-05
474,5.5E-05
475,2.5E-05
476,3.4E-05
477,4E-06
478,9E-06
479,-3E-05
480,1.1E-05
481,4.4E-05
482,4.2E-05
483,-8E-06
484,3E-06
485,2.4E-05
486,3.4E-05
487,6E-05
488,5.4E-05
