Type,Exciter
Maker,"Chroma"
ProductName,"D405/90x"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.00156803
331,0.00321968
332,0.0074925
333,0.0158897
334,0.0306982
335,0.0583876
336,0.104389
337,0.17987
338,0.293915
339,0.461293
340,0.708144
341,0.937277
342,1.33826
343,1.86694
344,2.52837
345,3.36278
346,4.36431
347,5.51985
348,6.88796
349,8.42699
350,10.1411
351,12.0397
352,14.1021
353,16.2852
354,18.6145
355,21.0295
356,23.5198
357,26.087
358,28.7008
359,31.3278
360,33.9411
361,36.5341
362,39.1396
363,41.6361
364,44.1018
365,46.5055
366,48.7779
367,50.9951
368,53.1033
369,55.1123
370,57.028
371,58.885
372,60.6102
373,62.2293
374,63.7781
375,65.2016
376,66.6509
377,67.8868
378,69.1146
379,70.2567
380,71.3261
381,72.304
382,73.2478
383,74.1094
384,74.8843
385,75.6472
386,76.3087
387,76.9395
388,77.4967
389,77.9928
390,78.4655
391,78.7941
392,79.0814
393,79.3004
394,79.4575
395,79.5104
396,79.4859
397,79.5399
398,79.4163
399,79.2414
400,79.0553
401,78.7769
402,78.5892
403,78.274
404,77.9728
405,77.7107
406,77.352
407,77.0498
408,76.7313
409,76.3388
410,75.9723
411,75.5664
412,75.062
413,74.5449
414,74.098
415,73.6103
416,73.1505
417,72.7333
418,72.2821
419,71.8229
420,71.412
421,70.8821
422,70.3142
423,69.6999
424,68.9689
425,68.2354
426,67.5278
427,66.7549
428,66.0499
429,65.3749
430,64.634
431,63.862
432,63.0915
433,62.2189
434,61.3904
435,60.5459
436,59.7488
437,58.9644
438,58.2031
439,57.4147
440,56.6369
441,55.8455
442,55.0655
443,54.2237
444,53.32
445,52.4095
446,51.3934
447,50.3172
448,49.1919
449,48.0686
450,46.9465
451,45.8813
452,44.8593
453,43.8388
454,42.8584
455,41.8257
456,40.7511
457,39.6362
458,38.4898
459,37.2745
460,36.0375
461,34.7573
462,33.4391
463,32.0827
464,30.6791
465,29.2164
466,27.707
467,26.1455
468,24.5404
469,22.9244
470,21.3326
471,19.77
472,18.2497
473,16.8042
474,15.4218
475,14.129
476,12.8809
477,11.7242
478,10.6235
479,9.57687
480,8.60053
481,7.68186
482,6.83361
483,6.05779
484,5.34451
485,4.69706
486,4.12986
487,3.60726
488,3.15104
489,2.74964
490,2.39383
491,2.08733
492,1.82059
493,1.58967
494,1.39375
495,1.22466
496,1.07992
497,0.958088
498,0.942413
499,0.832979
500,0.734143
501,0.640701
502,0.550893
503,0.466754
504,0.388762
505,0.320816
506,0.262031
507,0.212365
508,0.17183
509,0.13946
510,0.114237
511,0.0929934
512,0.0761904
513,0.062108
514,0.0502626
515,0.0405782
516,0.0325665
517,0.0258365
518,0.020289
519,0.0157883
520,0.0121819
521,0.00942711
522,0.00713291
523,0.00541951
524,0.0040255
525,0.00306558
526,0.00225142
527,0.00177429
528,0.00132719
529,0.00102788
530,0.001
531,0.001
532,0.001
533,0.001
534,0.001
535,0.001
536,0.001
537,0.001
538,0.001
539,0.001
540,0.001
541,0.001
542,0.001
543,0.001
544,0.001
545,0.001
546,0.001
547,0.001
548,0.001
549,0.001
550,0.001
551,0.001
552,0.001
553,0.001
554,0.00125056
555,0.00143321
556,0.00163755
557,0.0018667
558,0.00207904
559,0.00225497
560,0.00229176
561,0.00235106
562,0.00225607
563,0.00220499
564,0.00205465
565,0.0019338
566,0.00174029
567,0.00148653
568,0.00121972
569,0.001
570,0.001
571,0.001
572,0.001
573,0.001
574,0.001
575,0.001
576,0.001
577,0.001
578,0.001
579,0.001
580,0.001
581,0.001
582,0.001
583,0.001
584,0.001
585,0.001
586,0.001
587,0.001
588,0.001
589,0.001
590,0.001
591,0.001
592,0.001
593,0.001
594,0.001
595,0.001
596,0.001
597,0.001
598,0.001
599,0.001
600,0.001
601,0.001
602,0.001
603,0.001
604,0.001
605,0.001
606,0.001
607,0.001
608,0.001
609,0.001
610,0.001
611,0.001
612,0.001
613,0.001
614,0.001
615,0.001
616,0.001
617,0.001
618,0.001
619,0.001
620,0.001
621,0.001
622,0.001
623,0.001
624,0.001
625,0.001
626,0.001
627,0.001
628,0.001
629,0.001
630,0.001
631,0.001
632,0.001
633,0.001
634,0.001
635,0.001
636,0.001
637,0.001
638,0.001
639,0.001
640,0.001
641,0.001
642,0.001
643,0.001
644,0.001
645,0.001
646,0.001
647,0.001
648,0.001
649,0.001
650,0.001
651,0.001
652,0.001
653,0.001
654,0.001
655,0.001
656,0.001
657,0.001
658,0.001
659,0.001
660,0.001
661,0.001
662,0.001
663,0.001
664,0.001
665,0.001
666,0.001
667,0.001
668,0.001
669,0.001
670,0.001
671,0.001
672,0.001
673,0.001
674,0.001
675,0.001
676,0.001
677,0.001
678,0.001
679,0.001
680,0.001
681,0.001
682,0.001
683,0.001
684,0.001
685,0.001
686,0.001
687,0.001
688,0.001
689,0.001
690,0.001
691,0.001
692,0.001
693,0.001
694,0.001
695,0.001
696,0.001
697,0.001
698,0.001
699,0.001
700,0.001
701,0.001
702,0.001
703,0.001
704,0.001
705,0.001
706,0.001
707,0.001
708,0.001
709,0.001
710,0.001
711,0.001
712,0.001
713,0.001
714,0.001
715,0.001
716,0.001
717,0.001
718,0.001
719,0.001
720,0.001
721,0.001
722,0.001
723,0.001
724,0.001
725,0.001
726,0.001
727,0.001
728,0.001
729,0.001
730,0.001
731,0.001
732,0.001
733,0.001
734,0.001
735,0.001
736,0.001
737,0.001
738,0.001
739,0.001
740,0.001
741,0.001
742,0.001
743,0.001
744,0.001
745,0.001
746,0.001
747,0.001
748,0.001
749,0.001
750,0.001
751,0.001
752,0.001
753,0.001
754,0.001
755,0.001
756,0.001
757,0.001
758,0.001
759,0.001
760,0.001
761,0.001
762,0.001
763,0.001
764,0.001
765,0.001
766,0.001
767,0.001
768,0.001
769,0.001
770,0.001
771,0.001
772,0.001
773,0.001
774,0.001
775,0.001
776,0.001
777,0.001
778,0.001
779,0.001
780,0.001
781,0.001
782,0.001
783,0.001
784,0.001
785,0.001
786,0.001
787,0.001
788,0.001
789,0.001
790,0.001
791,0.001
792,0.001
793,0.001
794,0.001
795,0.001
796,0.001
797,0.001
798,0.001
799,0.001
800,0.001
801,0.001
802,0.001
803,0.001
804,0.001
805,0.001
806,0.001
807,0.001
808,0.001
809,0.001
810,0.001
811,0.001
812,0.001
813,0.001
814,0.001
815,0.001
816,0.001
817,0.001
818,0.001
819,0.001
820,0.001
821,0.001
822,0.001
823,0.001
824,0.001
825,0.001
826,0.001
827,0.001
828,0.001
829,0.001
830,0.001
831,0.001
832,0.001
833,0.001
834,0.001
835,0.001
836,0.001
837,0.001
838,0.001
839,0.001
840,0.001
841,0.001
842,0.001
843,0.001
844,0.001
845,0.001
846,0.001
847,0.001
848,0.001
849,0.001
850,0.001
851,0.001
852,0.001
853,0.001
854,0.001
855,0.001
856,0.001
857,0.001
858,0.001
859,0.001
860,0.001
861,0.001
862,0.001
863,0.001
864,0.001
865,0.001
866,0.001
867,0.001
868,0.001
869,0.001
870,0.001
871,0.001
872,0.001
873,0.001
874,0.001
875,0.001
876,0.001
877,0.001
878,0.001
879,0.001
880,0.001
881,0.001
882,0.001
883,0.001
884,0.001
885,0.001
886,0.001
887,0.001
888,0.001
889,0.001
890,0.001
891,0.001
892,0.001
893,0.001
894,0.001
895,0.001
896,0.001
897,0.001
898,0.001
899,0.001
900,0.001
901,0.001
902,0.001
903,0.001
904,0.001
905,0.001
906,0.001
907,0.001
908,0.001
909,0.001
910,0.001
911,0.001
912,0.001
913,0.001
914,0.001
915,0.001
916,0.001
917,0.001
918,0.001
919,0.001
920,0.001
921,0.001
922,0.001
923,0.001
924,0.001
925,0.001
926,0.001
927,0.001
928,0.001
929,0.001
930,0.001
931,0.001
932,0.001
933,0.001
934,0.001
935,0.001
936,0.001
937,0.001
938,0.001
939,0.001
940,0.001
941,0.001
942,0.001
943,0.001
944,0.001
945,0.001
946,0.001
947,0.001
948,0.001
949,0.001
950,0.001
951,0.001
952,0.001
953,0.001
954,0.001
955,0.001
956,0.001
957,0.001
958,0.001
959,0.001
960,0.001
961,0.001
962,0.001
963,0.001
964,0.001
965,0.001
966,0.001
967,0.001
968,0.001
969,0.001
970,0.001
971,0.001
972,0.001
973,0.001
974,0.001
975,0.001
976,0.001
977,0.001
978,0.001
979,0.001
980,0.001
981,0.001
982,0.001
983,0.001
984,0.001
985,0.001
986,0.001
987,0.001
988,0.001
989,0.001
990,0.001
991,0.001
992,0.001
993,0.001
994,0.001
995,0.001
996,0.001
997,0.001
998,0.001
999,0.001
1000,0.001
1001,0.001
1002,0.001
1003,0.001
1004,0.001
1005,0.001
1006,0.001
1007,0.001
1008,0.001
1009,0.001
1010,0.001
1011,0.001
1012,0.001
1013,0.001
1014,0.001
1015,0.001
1016,0.001
1017,0.001
1018,0.001
1019,0.001
1020,0.001
1021,0.001
1022,0.001
1023,0.001
1024,0.001
1025,0.001
1026,0.001
1027,0.001
1028,0.001
1029,0.001
1030,0.001
1031,0.001
1032,0.001
1033,0.001
1034,0.001
1035,0.001
1036,0.001
1037,0.001
1038,0.001
1039,0.001
1040,0.001
1041,0.001
1042,0.001
1043,0.001
1044,0.001
1045,0.001
1046,0.001
1047,0.001
1048,0.001
1049,0.001
1050,0.001
1051,0.001
1052,0.001
1053,0.001
1054,0.001
1055,0.001
1056,0.001
1057,0.001
1058,0.001
1059,0.001
