Type,Exciter
Maker,"Chroma"
ProductName,"ET376/30x"
Comment,""
Public,1
wavedataset
300,9.99999993923E-07
300.5,1.99146001023E-05
301,0.000101447994894
301.5,9.99999993923E-07
302,1.44411004044E-05
302.5,4.6979099011E-05
303,4.68860008596E-05
303.5,6.44145018214E-05
304,2.7348599474E-05
304.5,0.00011009700529
305,9.28517010834E-05
305.5,4.50981985978E-05
306,3.74660004354E-05
306.5,7.51550999212E-05
307,7.42403983622E-05
307.5,7.81850019393E-05
308,5.903480087E-05
308.5,0.000106195000171
309,7.0286199616E-05
309.5,6.73393003581E-05
310,0.000156670000706
310.5,0.000122174003536
311,5.2541901141E-05
311.5,2.55662996551E-05
312,8.37083007355E-05
312.5,3.31545010113E-05
313,3.2588499721E-05
313.5,5.10837992351E-05
314,6.65535026201E-05
314.5,5.18992976595E-05
315,4.46494993867E-05
315.5,6.45803027055E-05
316,5.69942017137E-05
316.5,0.000141017994792
317,8.44525004595E-05
317.5,7.42974009427E-05
318,0.000104868001927
318.5,0.000157023998781
319,0.000208426990866
319.5,8.66410005074E-05
320,3.26567004549E-05
320.5,7.63987998198E-05
321,4.97976998304E-05
321.5,1.74500002004E-05
322,7.02774002548E-05
322.5,5.83482005823E-05
323,3.93803986753E-05
323.5,9.66928951129E-05
324,6.60618979964E-05
324.5,9.0225501026E-05
325,7.63212995025E-05
325.5,5.51769005597E-05
326,3.07655994902E-05
326.5,7.11926020358E-05
327,4.75310002912E-05
327.5,5.29602004917E-05
328,5.74086016059E-05
328.5,8.03923001058E-05
329,5.03115984429E-05
329.5,9.99999993923E-07
330,6.0845201233E-05
330.5,8.71943996117E-05
331,5.38082986168E-05
331.5,4.77334992866E-05
332,6.2421702296E-05
332.5,2.03523001119E-05
333,4.86453984649E-05
333.5,6.73367992476E-05
334,3.91355996499E-05
334.5,4.29256004963E-05
335,2.80442993272E-06
335.5,3.20659012232E-05
336,7.53567974243E-05
336.5,7.62478009619E-05
337,0.000109324003006
337.5,6.74333023198E-05
338,0.00011951600527
338.5,0.000101959994936
339,4.38790010548E-05
339.5,3.90364988334E-05
340,9.65727963376E-05
340.5,0.000103818001662
341,2.84837994968E-05
341.5,5.60163982755E-05
342,5.16032002906E-05
342.5,0.000113134001367
343,5.43857993307E-05
343.5,8.12516987025E-05
344,4.20751007368E-05
344.5,8.04848014013E-05
345,9.66742049968E-05
345.5,9.34498984861E-05
346,8.39155973154E-05
346.5,3.21946998838E-05
347,4.11281007473E-05
347.5,9.44414978221E-05
348,3.87928992041E-05
348.5,1.83143995969E-05
349,9.79037054094E-05
349.5,6.66025016471E-05
350,7.96921995061E-05
350.5,9.02618012333E-05
351,2.9641100241E-05
351.5,4.25747003874E-05
352,0.000118656998893
352.5,7.540839988E-05
353,7.8313900076E-05
353.5,0.000152664995312
354,0.000161936998211
354.5,0.00037961799535
355,0.000546302999282
355.5,0.00125796996144
356,0.00279895994026
