Type,Exciter
Maker,"Semrock"
ProductName,"FF01-390/40-25"
Comment,""
Public,1
wavedataset
200,1E-05
200.2,0.00033656
200.4,0.0011646
200.6,0.00057997
200.8,3.7841E-05
201,3.7841E-05
201.2,1E-05
201.4,1.43E-05
201.6,0.00030274
201.8,1E-05
202,1E-05
202.2,1E-05
202.4,1E-05
202.6,0.00010313
202.8,7.7007E-05
203,0.000137
203.2,3.8838E-05
203.4,1.451E-05
203.6,1E-05
203.8,0.00019549
204,1E-05
204.2,9.4305E-05
204.4,0.00028731
204.6,3.7596E-05
204.8,0.00038262
205,0.0011263
205.2,3.7027E-05
205.4,0.0007871
205.6,0.00033203
205.8,0.00014939
206,0.00066535
206.2,1E-05
206.4,5.1753E-05
206.6,0.00017634
206.8,1E-05
207,9.5088E-05
207.2,0.00015008
207.4,6.488E-05
207.6,1E-05
207.8,1E-05
208,2.6013E-05
208.2,2.4631E-05
208.4,0.00027535
208.6,1E-05
208.8,6.6883E-05
209,1E-05
209.2,0.00013047
209.4,0.00042121
209.6,0.00044829
209.8,3.4468E-05
210,3.4468E-05
210.2,0.00045943
210.4,2.8796E-05
210.6,1E-05
210.8,1E-05
211,1E-05
211.2,1E-05
211.4,1E-05
211.6,2.4769E-05
211.8,1E-05
212,1E-05
212.2,0.00011179
212.4,8.1269E-05
212.6,4.231E-05
212.8,1E-05
213,1E-05
213.2,1E-05
213.4,1E-05
213.6,7.6817E-06
213.8,1E-05
214,1E-05
214.2,1E-05
214.4,0.00015995
214.6,1E-05
214.8,1E-05
215,0.00010322
215.2,2.061E-05
215.4,7.4424E-05
215.6,1E-05
215.8,8.3114E-05
216,1E-05
216.2,0.00031699
216.4,1.5033E-05
216.6,1.5033E-05
216.8,1E-05
217,1E-05
217.2,1E-05
217.4,1E-05
217.6,1E-05
217.8,1E-05
218,1E-05
218.2,1E-05
218.4,7.5647E-05
218.6,0.0001717
218.8,1E-05
219,1E-05
219.2,1E-05
219.4,0.00033716
219.6,0.00021487
219.8,0.00025164
220,0.00010194
220.2,1.7368E-05
220.4,0.0001378
220.6,1.2205E-05
220.8,1.2205E-05
221,1E-05
221.2,5.7321E-05
221.4,4.8617E-05
221.6,2.9676E-05
221.8,1E-05
222,1E-05
222.2,1E-05
222.4,1E-05
222.6,4.8045E-05
222.8,0.00023306
223,3.7406E-05
223.2,0.00016379
223.4,4.607E-05
223.6,0.00021835
223.8,2.7952E-05
224,1E-05
224.2,7.1096E-05
224.4,1E-05
224.6,1E-05
224.8,1.2746E-05
225,2.5051E-05
225.2,1.9573E-05
225.4,1E-05
225.6,3.3803E-05
225.8,6.6795E-05
226,6.6787E-05
226.2,5.3258E-05
226.4,4.8592E-05
226.6,1.7716E-05
226.8,1.7716E-05
227,1E-05
227.2,7.4793E-05
227.4,5.8884E-05
227.6,0.00013553
227.8,1E-05
228,1.0266E-05
228.2,5.451E-05
228.4,6.6828E-05
228.6,7.5237E-05
228.8,1E-05
229,1E-05
229.2,1E-05
229.4,1E-05
229.6,4.5991E-05
229.8,1E-05
230,8.2435E-05
230.2,5.9946E-06
230.4,1E-05
230.6,1E-05
230.8,1E-05
231,3.7366E-05
231.2,5.6952E-05
231.4,0.00012858
231.6,2.6282E-05
231.8,1E-05
232,1.4088E-05
232.2,1.4088E-05
232.4,1E-05
232.6,1.567E-05
232.8,1.567E-05
233,1E-05
233.2,1.3426E-05
233.4,1.1517E-05
233.6,1E-05
233.8,2.401E-05
234,6.1607E-06
234.2,6.8748E-05
234.4,2.8418E-05
234.6,4.6551E-05
234.8,1E-05
235,3.3181E-05
235.2,4.6096E-05
235.4,2.7994E-05
235.6,1E-05
235.8,1E-05
236,1E-05
236.2,1E-05
236.4,5.3958E-05
236.6,1E-05
236.8,1E-05
237,3.4099E-05
237.2,1E-05
237.4,4.6144E-05
237.6,1.5689E-05
237.8,2.8164E-05
238,2.9847E-05
238.2,1E-05
238.4,5.8625E-05
238.6,0.00013516
238.8,0.00015737
239,1E-05
239.2,2.8044E-05
239.4,1E-05
239.6,0.00010663
239.8,2.7119E-05
240,1E-05
240.2,1E-05
240.4,1.4633E-05
240.6,1.2335E-05
240.8,1.1741E-06
241,3.959E-05
241.2,4.0706E-05
241.4,4.5924E-05
241.6,1E-05
241.8,1E-05
242,1E-05
242.2,2.7843E-05
242.4,1.571E-05
242.6,3.6487E-05
242.8,1E-05
243,1E-05
243.2,0.00010963
243.4,9.9961E-05
243.6,2.4502E-05
243.8,1E-05
244,4.2188E-05
244.2,2.1125E-05
244.4,6.0202E-05
244.6,8.778E-05
244.8,1.2361E-05
245,8.8444E-05
245.2,1E-05
245.4,4.082E-05
245.6,6.8178E-05
245.8,6.171E-05
246,1.1817E-05
246.2,4.014E-05
246.4,7.2979E-05
246.6,4.0179E-05
246.8,6.6264E-05
247,1E-05
247.2,1E-05
247.4,1E-05
247.6,1E-05
247.8,1E-05
248,8.9753E-05
248.2,1E-05
248.4,2.911E-05
248.6,2.5929E-05
248.8,2.3232E-05
249,1E-05
