Type,Exciter
Maker,"Chroma"
ProductName,"HQ548/20x"
Comment,""
Public,1
wavedataset
300,0.00106
301,0.001983
302,0.001369
303,0.001048
304,0.0007273
305,0.0007192
306,0.00203
307,0.001047
308,1E-06
309,1E-06
310,0.001061
311,1E-06
312,0.0007311
313,0.0003868
314,0.0003758
315,0.002416
316,1E-06
317,0.002449
318,1E-06
319,0.002141
320,1E-06
321,0.002462
322,0.0009666
323,1E-06
324,1E-06
325,0.0002888
326,1E-06
327,1E-06
328,0.003726
329,0.001373
330,0.0009723
331,0.0009868
332,0.001381
333,0.001015
334,0.003707
335,0.00214
336,0.0002986
337,0.001386
338,1E-06
339,0.0006281
340,0.001801
341,0.0006308
342,0.000193
343,0.001413
344,0.002226
345,0.001026
346,0.0006035
347,0.001032
348,0.00184
349,0.0006382
350,0.001433
351,1E-06
352,1E-06
353,0.001031
354,0.001044
355,1E-06
356,0.001037
357,1E-06
358,0.001447
359,0.001448
360,0.000653
361,0.001061
362,0.001042
363,0.002262
364,0.001063
365,0.001075
366,0.001871
367,0.0006635
368,0.001465
369,0.001464
370,0.001876
371,0.0002776
372,0.001051
373,0.001885
374,0.000265
375,0.0006876
376,0.0006434
377,1E-06
378,0.001082
379,0.001487
380,0.001489
381,0.0006787
382,0.00236
383,0.0002361
384,0.00109
385,0.0006964
386,0.001508
387,0.001089
388,0.001948
389,0.002368
390,0.0002607
391,0.0007035
392,0.001092
393,0.0002682
394,0.001526
395,1E-06
396,0.001079
397,0.002851
398,0.00111
399,1E-06
400,0.001543
401,0.000282
402,0.001109
403,0.0006972
404,0.001109
405,1E-06
406,0.001109
407,0.001125
408,0.001112
409,0.000687
410,0.0001897
411,0.0002389
412,1E-06
413,1E-06
414,0.0007097
415,1E-06
416,0.002032
417,0.0002968
418,1E-06
419,1E-06
420,0.0002114
421,0.002049
422,0.003358
423,0.0007429
424,0.002063
425,0.001162
426,0.002484
427,0.0007557
428,0.0007071
429,0.001167
430,0.0025
431,0.0007514
432,0.001625
433,0.001624
434,0.001629
435,1E-06
436,0.00252
437,0.0007508
438,0.001193
439,1E-06
440,0.002069
441,1E-06
442,0.002498
443,0.002069
444,0.004194
445,0.001222
446,1E-06
447,0.001226
448,1E-06
449,0.003324
450,0.0007563
451,0.0003096
452,0.001659
453,0.002551
454,0.001659
455,0.0003358
456,0.001221
457,0.0007855
458,0.001226
459,0.002101
460,0.001664
461,0.001236
462,0.001668
463,0.001244
464,0.003371
465,1E-06
466,1E-06
467,0.000769
468,0.0007782
469,1E-06
470,1E-06
471,0.000794
472,1E-06
473,1E-06
474,0.001248
475,0.001688
476,0.0008227
477,0.0008281
478,0.004463
479,0.0007742
480,1E-06
481,0.0003296
482,0.001243
483,0.002146
484,0.001698
485,0.0008051
486,0.003029
487,0.001259
488,0.002583
489,1E-06
490,0.001269
491,0.001705
492,0.002175
493,0.004022
494,1E-06
495,0.0007928
496,0.0007965
497,0.002168
498,0.000806
499,0.00443
500,0.002618
501,0.004867
502,0.0008222
503,0.0003828
504,0.001274
505,0.0003941
506,0.0008396
507,1E-06
508,1E-06
509,0.0004149
510,1E-06
511,0.002196
512,0.001727
513,0.004047
514,0.0008032
515,0.002193
516,0.0003494
517,0.0003535
518,0.00265
519,0.0003623
520,0.001733
521,1E-06
522,0.001736
523,0.002648
524,1E-06
525,0.0003811
526,1E-06
527,1E-06
528,0.001741
529,0.00174
530,0.001293
531,0.001293
532,0.004889
533,0.01428
534,0.06153
535,0.3241
536,2.54
537,20.89
538,60.99
539,72.42
540,74.41
541,76.22
542,80.69
543,87.01
544,88.46
545,85.64
546,82.48
547,82.87
548,85.25
549,87.72
550,87.88
551,87.33
552,87.27
553,89.31
554,90.87
555,87.49
556,79.78
557,75.1
558,79.69
559,55.06
560,13.25
561,2.263
562,0.4932
563,0.1351
564,0.04284
565,0.01378
566,0.01142
567,0.006752
568,0.00221
569,1E-06
570,0.003292
571,0.002764
572,0.001288
573,0.001773
574,0.003262
575,0.0008137
576,1E-06
577,1E-06
578,0.004318
579,0.0007955
580,0.001778
581,1E-06
582,1E-06
583,0.002815
584,0.001243
585,0.002806
586,1E-06
587,0.0007771
588,1E-06
589,1E-06
590,1E-06
591,1E-06
592,0.001784
593,0.002248
594,1E-06
595,0.001791
596,0.002222
597,0.0005024
598,0.002647
599,1E-06
600,1E-06
601,0.003813
602,1E-06
603,0.00304
604,0.0002167
605,0.002194
606,0.002204
607,1E-06
608,0.002639
609,0.002653
610,0.000914
611,0.003116
612,0.001345
613,0.006269
614,1E-06
615,0.001306
616,1E-06
617,0.002275
618,0.001316
619,1E-06
620,0.001292
621,1E-06
622,0.00131
623,1E-06
624,0.0007847
625,0.001796
626,0.0008238
