Type,Exciter
Maker,"Omega"
ProductName,"XF1004(355HT15)"
Comment,""
Public,1
wavedataset
1099.951904,-1.608760595
1099.015747,1.365620971
1097.96167,-1.694359064
1097.024048,0
1095.968384,-0.15004088
1095.029419,3.95285964
1093.972168,1.887861848
1093.031616,0.181235641
1091.972778,0.789278567
1091.030884,0.147580996
1089.970337,-1.068157792
1089.026978,0.340433568
1087.964966,-1.696385026
1087.020142,-0.95917511
1085.956421,2.49018693
1085.010254,1.197211981
1083.944946,0.123787902
1082.997314,-1.111870527
1082.049072,-0.453444511
1080.981445,5.616777897
1080.031738,-1.021268845
1078.962524,-0.412463635
1078.011353,-2.209465742
1076.940552,-1.231489182
1075.988037,-0.346619159
1075.03479,2.099923134
1073.96167,-1.892876625
1073.00708,-0.702135146
1072.051758,4.728340626
1070.976318,-0.644738972
1070.019653,0.611957431
1068.942505,-2.099331379
1067.984497,-2.085128069
1067.025757,3.23837018
1065.946411,-0.768787146
1064.986206,-1.228484631
1064.025391,0.583774149
1062.943726,-0.416504443
1061.981567,-1.298436284
1061.018677,0.99357909
1060.055176,0.141513035
1058.970459,-2.676239014
1058.005615,-1.572030187
1057.040039,0.040063191
1055.953125,-0.659241796
1054.986206,2.751324415
1054.018555,-1.235514998
1053.050415,-0.075697288
1051.960327,-0.321097285
1050.990723,0.045769986
1050.020508,1.315166235
1049.049561,0.262340903
1047.956543,-0.639136434
1046.984253,0
1046.011353,-0.048376635
1045.037842,-0.97395891
1043.941772,-0.317466855
1042.966797,-0.223653927
1041.991333,0.05590234
1041.015015,-0.365439028
1040.038208,0.485279322
1039.060669,0.754392088
1037.960205,-0.067800552
1036.981445,0.186054915
1036.001953,-0.397350371
1035.021729,0.172370508
1034.041016,-0.410796285
1033.05957,-0.247566447
1031.954712,-0.68763864
1030.971924,0.127823889
1029.988525,-0.827467918
1029.004517,0.25811255
1028.019775,-0.193652526
1027.034546,0.717792571
1026.048584,-0.156588227
1024.938599,-0.057751093
1023.951355,0.94156462
1022.96344,0.424073577
1021.974854,0.974309921
1020.985718,-0.233659104
1019.995911,-0.641478896
1019.005432,0.152721614
1018.014404,-0.158442438
1017.022705,0.138703167
1016.030396,0.113904871
1015.037415,-0.366455078
1014.043823,-0.418878675
1013.049683,0.134353235
1012.05481,0.244371831
1011.059387,-0.222579569
1009.938782,-0.181254119
1008.942017,-0.310219735
1007.94458,-0.600138664
1006.946594,-0.28757894
1005.947937,-0.099843182
1004.948669,0.333925873
1003.948792,-0.005607731
1002.948303,0.549524725
1001.947205,0.079877831
1000.945496,0.16826646
999.9431152,-0.026109934
998.9401245,-0.067594633
998.0620728,-0.389640749
997.0579224,0.007598582
996.0532227,-0.15349713
995.0478516,0.266688138
994.0418701,0.18836996
993.0352783,0.074157551
992.0281372,-0.444295853
991.0203247,-0.168358237
990.0119019,0.162671194
989.0028687,-0.393324494
987.9932251,0.138273642
986.9830322,-0.223367006
985.972168,-0.030212937
984.9606934,0.016035557
983.9486084,0.127719596
983.062561,0.226220831
