Type,Exciter
Maker,"Omega"
ProductName,"XF1008(405DF40)"
Comment,""
Public,1
wavedataset
200,0.00083
201,0.00088
202,0.0009
203,0.00093
204,0.00089
205,0.00093
206,0.00093
207,0.00098
208,0.00092
209,0.00088
210,0.00095
211,0.0011
212,0.0012
213,0.0012
214,0.0011
215,0.00097
216,0.00097
217,0.00097
218,0.0009
219,0.00083
220,0.0008
221,0.00086
222,0.00094
223,0.001
224,0.001
225,0.00098
226,0.00091
227,0.00087
228,0.00087
229,0.00085
230,0.00076
231,0.00067
232,0.00058
233,0.00052
234,0.00044
235,0.00042
236,0.00043
237,0.00045
238,0.00043
239,0.00038
240,0.00033
241,0.00031
242,0.00031
243,0.00031
244,0.00031
245,0.00031
246,0.0003
247,0.00024
248,0.00018
249,0.00013
250,0.00013
251,0.00014
252,0.00012
253,9.9E-05
254,7.2E-05
255,8.5E-05
256,0.0001
257,0.00014
258,0.00014
259,0.00011
260,5.5E-05
261,2E-05
262,1E-06
263,2.9E-05
264,7.8E-05
265,0.00014
266,0.00016
267,0.00012
268,7.3E-05
269,4.7E-05
270,4.9E-05
271,4.1E-05
272,3.4E-05
273,2.7E-05
274,3.4E-05
275,4E-05
276,3.9E-05
277,4.4E-05
278,7.7E-05
279,0.0001
280,0.00013
281,0.00011
282,9.1E-05
283,5.2E-05
284,4.2E-05
285,3.5E-05
286,3.1E-05
287,2.8E-05
288,2.5E-05
289,3.8E-05
290,7.3E-05
291,0.00011
292,0.00014
293,0.00017
294,0.00023
295,0.00026
296,0.00024
297,0.00021
298,0.00024
299,0.00032
300,0.00036
301,0.00034
302,0.00025
303,0.00017
304,0.00016
305,0.00018
306,0.00018
307,0.00011
308,0.00011
309,0.00016
310,0.00027
311,0.00026
312,0.00017
313,6.3E-05
314,6.8E-05
315,0.00016
316,0.00032
317,0.0004
318,0.00038
319,0.00028
320,0.00024
321,0.00024
322,0.00027
323,0.00022
324,0.00018
325,9.6E-05
326,6.2E-05
327,4.7E-05
328,5.5E-05
329,8.3E-05
330,0.00013
331,0.00018
332,0.00021
333,0.00013
334,6.3E-05
335,5E-06
336,3E-06
337,7.6E-05
338,0.0002
339,0.00031
