Type,Exciter
Maker,"Omega"
ProductName,"XF1049(490-605DBEX)"
Comment,""
Public,1
wavedataset
350,9.4E-05
350.25,0.00012
350.5,6.9E-05
350.75,0.00033
351,0.00029
351.25,6.1E-05
351.5,-0.00017
351.75,9.8E-05
352,0.0002
352.25,0.00027
352.5,0.00012
352.75,0.00024
353,-2.9E-05
353.25,-4.9E-05
353.5,-4.4E-05
353.75,-3.9E-05
354,0.00012
354.25,-0.00039
354.5,3.3E-05
354.75,0.00015
355,0.00024
355.25,5.7E-05
355.5,0.00011
355.75,1.1E-05
356,0.00032
356.25,8.7E-05
356.5,9.4E-05
356.75,-0.00031
357,3.6E-05
357.25,7E-05
357.5,3.6E-05
357.75,-6.5E-05
358,8E-06
358.25,0.0002
358.5,-1.9E-05
358.75,-2.1E-05
359,2.9E-05
359.25,0.00021
359.5,7.2E-05
359.75,-0.00042
360,7.6E-05
360.25,0.00022
360.5,2.7E-05
360.75,2.1E-05
361,0.00021
361.25,0.00017
361.5,4.1E-05
361.75,9.2E-05
362,-5.4E-05
362.25,0.00023
362.5,-3.5E-05
362.75,0.00012
363,2.8E-05
363.25,-2.1E-05
363.5,8.1E-05
363.75,-0.00025
364,-7.8E-05
364.25,0.00014
364.5,1.6E-05
364.75,0.00014
365,7.7E-05
365.25,0.00013
365.5,6E-06
365.75,0.00015
366,0.00017
366.25,1E-06
366.5,-5.7E-05
366.75,-4.5E-05
367,0.00019
367.25,0.00015
367.5,-2.4E-05
367.75,-1E-05
368,1.8E-05
368.25,0.0001
368.5,-3E-06
368.75,-0.00011
369,4.7E-05
369.25,-0.00035
369.5,5.9E-05
369.75,0.00012
370,4.4E-05
370.25,0.00011
370.5,9.1E-05
370.75,-0.00013
371,3E-05
371.25,9.8E-05
371.5,0.0002
371.75,6.4E-05
372,0.00024
372.25,0.00027
372.5,-1E-05
372.75,-3E-06
373,6.3E-05
373.25,0.00013
373.5,0.00031
373.75,0.00019
374,0.00022
374.25,0.00023
374.5,0.00019
374.75,0.00011
375,0.00014
375.25,0.00011
375.5,1.4E-05
375.75,-0.00025
376,-8.5E-05
376.25,-4.5E-05
376.5,-2.9E-05
376.75,0.00033
377,3.3E-05
377.25,0.00017
377.5,0.00018
377.75,0.00027
378,0.00011
378.25,0.00014
378.5,0.00015
378.75,5.4E-05
379.25,4.7E-05
379.5,0.00026
379.75,0.0003
380,-1.2E-05
380.25,9E-06
380.5,0.00016
380.75,7.8E-05
381,7.9E-05
381.25,2.9E-05
381.5,-4E-06
381.75,-0.0002
382,5.7E-05
382.25,0.00023
382.5,-3.9E-05
382.75,7E-06
383,0.00026
383.25,8.3E-05
383.5,0.00011
383.75,0.00011
384,6E-05
384.25,-7.7E-05
384.5,9.7E-05
384.75,7.9E-05
385,0.00015
385.25,0.00011
385.5,0.00015
385.75,0.00012
386,0.00021
386.25,4.7E-05
386.5,-3.1E-05
386.75,9.5E-05
387,-4E-06
387.25,0.00019
387.5,0.00013
387.75,-0.00033
388,0.00032
388.25,-1.3E-05
388.5,1.3E-05
388.75,7.4E-05
389,0.00014
389.25,6.2E-05
389.5,0.00013
389.75,0.0003
390,0.00011
390.25,8E-06
390.5,0.00028
390.75,0.00011
391,2E-05
391.25,0.00025
391.5,0.00012
391.75,-2.9E-05
392,-5.2E-05
392.25,-2.2E-05
392.5,0.00011
392.75,-1.1E-05
393,0.00019
393.25,9.8E-05
393.5,9.3E-05
393.75,0.0001
394,-0.00036
394.25,0.0002
394.5,0.00025
394.75,7.8E-05
395,5.6E-05
395.25,0.00012
395.5,0.0001
395.75,-3E-05
396,-5E-06
396.25,0.00014
396.5,9.2E-05
396.75,8.3E-05
397,0.0001
397.25,3.6E-05
397.5,4.9E-05
397.75,0.00018
398,6.5E-05
398.25,3.2E-05
398.5,0.0002
398.75,1.8E-05
399,0.0002
399.25,0.00014
399.5,-0.00037
399.75,0.00015
400,0.00031
400.25,0.00015
400.5,5.6E-05
400.75,0.0002
401,-5E-06
401.25,-6E-06
401.5,0.00022
401.75,0.00014
402,0.00016
402.25,-8.3E-05
402.5,3E-05
402.75,0.00014
403,0.00013
403.25,0.00014
403.5,-2.1E-05
403.75,4.7E-05
404,2.2E-05
404.25,-0.00031
404.5,8.7E-05
404.75,3.2E-05
405,-5.3E-05
405.25,0.00022
405.5,0.00022
405.75,0.00011
406,5.3E-05
406.25,-7.8E-05
406.5,0.00022
406.75,0.00027
407,0.00011
407.25,4.9E-05
407.5,0.00022
407.75,3.5E-05
408,0.00028
408.25,-6.9E-05
408.5,9.1E-05
408.75,-0.0003
409,0.00014
409.25,0.00022
409.5,4.5E-05
409.75,0.00013
410,0.00013
410.25,0.00029
410.5,0.00013
410.75,-2.6E-05
411,0.00019
411.25,-0.00012
411.5,9E-05
411.75,5E-05
412,0.00014
412.25,-0.00023
412.5,-0.00014
412.75,6.7E-05
413,0.00014
413.25,0.00011
413.5,0.00013
413.75,9E-06
414,0.00011
414.25,0.00014
414.5,0.00012
414.75,0.00012
415,-8.2E-05
415.25,0.0002
415.5,-0.00027
415.75,0.00016
416,3E-06
416.25,-1.5E-05
416.5,-8.1E-05
416.75,0.00011
417,-0.00012
417.25,1.8E-05
417.5,0.00014
417.75,5.4E-05
418,5.5E-05
418.25,-2.5E-05
418.5,-0.00038
418.75,-1.7E-05
419,5.6E-05
419.25,5.2E-05
419.5,-0.00014
419.75,0.00018
420,4E-06
420.25,0.00021
420.5,8.8E-05
420.75,0.00024
421,8.3E-05
421.25,5.4E-05
421.5,-0.00025
421.75,8.9E-05
422,4.5E-05
422.25,-0.00012
422.5,0.00021
422.75,5.1E-05
423,0.00018
423.25,-3E-06
423.5,-6.5E-05
423.75,3.8E-05
424,0.00016
424.25,0.00026
424.5,3.4E-05
424.75,-0.00029
425,-2.9E-05
425.25,0.00013
425.5,6.3E-05
425.75,0.00011
426,9.5E-05
426.25,1.2E-05
426.5,5.9E-05
426.75,0.00012
427,0.00015
427.25,0.00024
427.5,-0.00035
427.75,3E-05
428,0.00017
428.25,4.9E-05
428.5,7.3E-05
428.75,0.00023
429,2.3E-05
429.25,4.6E-05
429.5,0.00011
429.75,0.0002
430,9E-05
430.25,0.00018
430.5,-2.5E-05
430.75,-0.00023
431,0.00023
431.25,0.00021
431.5,0.00011
431.75,3.3E-05
432,0.00026
432.25,0.00011
432.5,0.00023
432.75,7.1E-05
433,7.6E-05
433.25,0.00036
433.5,0.00022
433.75,-4.8E-05
434,-1.2E-05
434.25,-0.00042
434.5,6E-06
434.75,0.00014
435,0.00017
435.25,0.00025
435.5,7.9E-05
435.75,0.00014
436,9.1E-05
436.25,0.00016
436.5,8.9E-05
436.75,4.6E-05
437,9.7E-05
437.25,8.8E-05
437.5,0.00015
437.75,0.00028
438,0.00016
438.25,8E-05
438.5,-3E-05
438.75,-0.00012
439,9.8E-05
439.25,9.7E-05
439.5,-0.00022
439.75,0.00021
440,0.00025
440.25,0.00021
440.5,0.00029
440.75,-4.1E-05
441,1E-06
441.25,-6.7E-05
441.5,-1.7E-05
441.75,0.00016
442,-3E-05
442.25,-1.8E-05
