Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"7-amino-4-methylcoumarin-3-acetic acid(AMCA)"
Comment,"7-amino-4-methylcoumarin/pH 7.0"
Public,1
Excitation
250,13.89835
251,13.40987
252,13.05177
253,12.52078
254,12.00419
255,11.30521
256,10.8691
257,10.14904
258,9.55127
259,9.098289
260,8.560264
261,8.191623
262,7.889401
263,7.593856
264,7.404088
265,7.186207
266,7.010849
267,7.024906
268,7.031934
269,6.877308
270,7.066724
271,7.193588
272,7.302528
273,7.498972
274,7.928057
275,8.170538
276,8.419695
277,8.743002
278,9.175602
279,9.828894
280,10.50714
281,11.0311
282,11.77577
283,12.59106
284,13.24857
285,14.02486
286,15.01938
287,15.73277
288,16.56563
289,17.40237
290,18.06655
291,18.87447
292,19.62335
293,20.36801
294,21.07436
295,21.75964
296,22.36408
297,22.99347
298,23.67488
299,24.12154
300,24.8662
301,25.48118
302,26.08598
303,26.80253
304,27.59006
305,28.37724
306,29.44521
307,30.4573
308,31.50454
309,33.00195
310,34.65011
311,35.95739
312,37.84769
313,39.85465
314,41.78044
315,43.86085
316,46.30639
317,48.49574
318,50.90333
319,53.48241
320,55.98452
321,58.47293
322,61.00668
323,63.5334
324,66.155
325,68.68488
326,71.09211
327,73.53484
328,76.17366
329,78.2365
330,80.67923
331,82.85452
332,84.71003
333,86.51247
334,88.6491
335,90.18833
336,91.84001
337,93.33706
338,94.67281
339,95.82195
340,96.89379
341,97.79308
342,98.55566
343,99.18506
344,99.49044
345,99.91566
346,100
347,99.78599
348,99.56459
349,99.16011
350,98.59116
351,97.73018
352,96.78134
353,95.57912
354,94.33861
355,92.77478
356,90.9864
357,89.30275
358,87.23287
359,84.97675
360,82.76315
361,80.44694
362,77.9167
363,75.20058
364,72.83516
365,70.19985
366,67.57439
367,64.85474
368,62.15934
369,59.35465
370,56.59635
371,53.84085
372,51.20555
373,48.45357
374,45.70933
375,43.18226
376,40.645
377,37.90075
378,35.4408
379,33.14251
380,30.66816
381,28.50024
382,26.28945
383,24.31482
384,22.35037
385,20.21725
386,18.39654
387,16.69952
388,15.07912
389,13.59648
390,12.2045
391,10.88316
392,9.811673
393,8.612976
394,7.650434
395,6.64537
396,5.886302
397,5.032348
398,4.38222
399,3.760205
400,3.260835
401,2.77974
402,2.393177
403,2.06987
404,1.781353
405,1.524816
406,1.331534
407,1.054263
408,0.8044026
409,0.6638342
410,0.5130746
411,0.3725062
412,0.2319378
413,0.0668
414,0.0207
415,-0.0984
416,-0.1648164
417,-0.2284236
418,-0.2948422
419,-0.2842996
420,-0.3370127
421,-0.351421
422,-0.3862116
423,-0.5021806
424,-0.4217052
425,-0.4533331
426,-0.3897258
427,-0.375669
428,-0.5021806
429,-0.3791832
430,-0.4108111
431,-0.4283822
432,-0.5376741
433,-0.4072969
434,-0.4494674
435,-0.4955036
436,-0.4986663
437,-0.4041341
438,-0.4283822
439,-0.4849609
440,-0.46001
441,-0.4283822
442,-0.4389248
443,-0.3830489
444,-0.4389248
445,-0.3686406
446,-0.3862116
447,-0.4463046
448,-0.4041341
449,-0.3935915
450,-0.4533331
451,-0.4463046
452,-0.4002685
453,-0.351421
454,-0.4217052
455,-0.4389248
456,-0.4533331
457,-0.4072969
458,-0.4916379
459,-0.5341599
460,-0.4568473
461,-0.5236173
462,-0.4849609
463,-0.4881237
464,-0.4881237
465,-0.4494674
466,-0.5724648
467,-0.5271314
468,-0.4568473
469,-0.4916379
470,-0.4463046
471,-0.5060462
472,-0.46001
473,-0.4881237
474,-0.4533331
475,-0.5021806
476,-0.4389248
477,-0.59355
478,-0.5552452
479,-0.5021806
480,-0.5236173
481,-0.5060462
482,-0.5236173
483,-0.5236173
484,-0.5447025
485,-0.5376741
486,-0.5447025
487,-0.5408369
488,-0.509209
489,-0.6040927
490,-0.59355
491,-0.5689505
492,-0.6079583
493,-0.6395862
494,-0.6111211
495,-0.5724648
496,-0.6216637
497,-0.5513795
498,-0.5794932
499,-0.6111211
500,-0.5552452
501,-0.6185009
502,-0.5165888
503,-0.5724648
504,-0.5974157
505,-0.5376741
506,-0.5271314
507,-0.5794932
508,-0.5763304
509,-0.5271314
510,-0.59355
511,-0.59355
512,-0.5197516
513,-0.5513795
514,-0.5724648
515,-0.5619221
516,-0.5513795
517,-0.5197516
518,-0.4986663
519,-0.4955036
520,-0.5236173
521,-0.5341599
522,-0.4568473
523,-0.5271314
524,-0.4638757
525,-0.3935915
526,-0.4533331
527,-0.4108111
528,-0.4463046
529,-0.4775811
530,-0.3405269
531,-0.4041341
532,-0.4494674
533,-0.3935915
534,-0.3475553
535,-0.4146768
536,-0.4389248
537,-0.5689505
538,-0.3791832
539,-0.4252194
540,-0.3725062
541,-0.4002685
542,-0.4072969
543,-0.3654778
544,-0.3967543
545,-0.4217052
546,-0.4494674
547,-0.5021806
548,-0.3935915
549,-0.2948422
550,-0.1121033
Emission
355,-0.06
356,-0.0405
357,-0.06
358,-0.0594
359,-0.0587
360,-0.0587
361,-0.0587
362,-0.0581
363,-0.0581
364,-0.0581
365,-0.0387
366,-0.0387
367,-0.0581
368,-0.0587
369,-0.0194
370,-0.0587
371,-0.0196
372,-0.0392
373,0.0783
374,0.0783
375,0.0783
376,0.1583745
377,0.1781713
378,0.1801292
379,0.2601867
380,0.280201
381,0.3844062
382,0.42487
383,0.5003589
384,0.6004308
385,0.7005026
386,0.9006461
387,1.060761
388,1.260905
389,1.461048
390,1.741249
391,2.121522
392,2.481781
393,2.942111
394,3.502513
395,4.058346
396,4.850219
397,5.642091
398,6.441578
399,7.381382
400,8.340766
401,9.448518
402,10.80384
403,12.21724
404,13.86299
405,15.50873
406,17.50299
407,19.78767
408,21.80477
409,24.27394
410,26.87798
411,28.99471
412,31.49433
413,34.16146
414,37.15274
415,40.21798
416,43.37894
417,46.63563
418,49.31799
419,52.5725
420,56.07066
421,59.47527
422,63.04958
423,66.117
424,68.41865
425,71.1554
426,73.96611
427,76.77682
428,79.80943
429,82.2329
430,84.81954
431,87.2626
432,89.01821
433,90.99789
434,92.77308
435,94.2524
436,95.63818
437,96.46921
438,97.41337
439,97.76579
440,98.32053
441,99.6628
442,100
443,99.55186
444,99.28862
445,99.3082
446,98.31618
447,97.53084
448,96.33215
449,95.58379
450,94.0131
451,93.17119
452,91.48737
453,90.10378
454,89.74917
455,88.21764
456,86.41852
457,83.92107
458,82.27425
459,80.88412
460,79.44177
461,77.94505
462,75.36059
463,73.93999
464,72.41282
465,70.05025
466,68.38384
467,65.95602
468,64.60069
469,62.41217
470,60.88498
471,58.69428
472,56.75158
473,54.78931
474,53.17511
475,51.62617
476,50.03372
477,48.38253
478,47.26217
479,45.92425
480,44.421
481,43.14835
482,41.51892
483,39.72197
484,38.37753
485,37.30285
486,35.98233
487,34.92723
488,33.76988
489,32.69519
490,32.05778
491,30.95046
492,29.88666
493,28.77934
494,27.75469
495,26.77356
496,25.79242
497,24.93528
498,24.24566
499,23.42333
500,22.62057
501,21.84176
502,21.34096
503,20.5095
504,19.78463
505,19.01712
506,18.50045
507,17.68203
508,17.07899
509,16.5336
510,15.96798
511,15.51113
512,14.83673
513,14.36987
514,13.9524
515,13.46901
516,12.93667
517,12.49288
518,12.1448
519,11.62943
520,11.13647
521,10.81471
522,10.38484
523,10.04547
524,9.753736
525,9.456784
526,9.085649
527,8.785868
528,8.416908
529,8.170426
530,7.844541
531,7.588922
532,7.283486
533,7.042661
534,6.758109
535,6.49727
536,6.293645
537,6.078273
538,5.916201
539,5.650575
540,5.482194
541,5.262906
542,5.088651
543,4.916571
544,4.712076
545,4.588074
546,4.428176
547,4.253051
548,4.062915
549,3.936737
550,3.868862
551,3.690691
552,3.568212
553,3.46553
554,3.33957
555,3.158353
556,3.080471
557,2.948202
558,2.842909
559,2.813323
560,2.680619
561,2.595558
562,2.461766
563,2.454805
564,2.319925
565,2.257054
566,2.14828
567,2.138056
568,2.001001
569,1.989253
570,1.878739
571,1.809994
572,1.754302
573,1.726456
574,1.627689
