Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Alexa Fluor 750"
Comment,"Alexa Fluor 750 goat anti mouse IgG antibody/pH 7.2"
Public,1
Excitation
400,2.133978
401,2.162486
402,2.209465
403,2.251294
404,2.269056
405,2.291258
406,2.306355
407,2.324916
408,2.338238
409,2.338238
410,2.365768
411,2.375626
412,2.390723
413,2.411061
414,2.431575
415,2.467099
416,2.503421
417,2.515943
418,2.556795
419,2.617185
420,2.626954
421,2.660701
422,2.688232
423,2.690896
424,2.704128
425,2.65262
426,2.642051
427,2.566475
428,2.526512
429,2.425359
430,2.342767
431,2.225451
432,2.115328
433,2.001653
434,1.879098
435,1.743221
436,1.641091
437,1.508856
438,1.40042
439,1.28941
440,1.194474
441,1.082575
442,1.040746
443,0.9173024
444,0.8755625
445,0.8321351
446,0.7814255
447,0.7263643
448,0.6980344
449,0.6828482
450,0.63054
451,0.619883
452,0.5807185
453,0.5497243
454,0.5497243
455,0.5460832
456,0.5141121
457,0.5106485
458,0.4902226
459,0.4795656
460,0.4573635
461,0.452035
462,0.4377368
463,0.4458184
464,0.4076308
465,0.4085189
466,0.3942207
467,0.3818763
468,0.3515927
469,0.3552338
470,0.3348078
471,0.3126057
472,0.2912917
473,0.282322
474,0.2531041
475,0.2627842
476,0.2255735
477,0.2219323
478,0.2122522
479,0.2042594
480,0.1740646
481,0.1776169
482,0.1563029
483,0.1571021
484,0.1332127
485,0.1366762
486,0.1305484
487,0.1180264
488,0.0968
489,0.1021297
490,0.0976
491,0.1038171
492,0.104794
493,0.0976
494,0.0949
495,0.1002647
496,0.1180264
497,0.1206907
498,0.1252199
499,0.1225557
500,0.1215788
501,0.1305484
502,0.1464451
503,0.1473332
504,0.1793931
505,0.1740646
506,0.1909382
507,0.2015952
508,0.2379178
509,0.2371186
510,0.2637611
511,0.2584326
512,0.2859632
513,0.2886275
514,0.325927
515,0.3374721
516,0.3729067
517,0.3650027
518,0.3995492
519,0.4066539
520,0.4546105
521,0.4714841
522,0.5070962
523,0.5407546
524,0.5657098
525,0.5888
526,0.6216592
527,0.6536302
528,0.6828482
529,0.7219238
530,0.7538949
531,0.8001641
532,0.8259186
533,0.861442
534,0.9014058
535,0.9457212
536,0.9750279
537,1.032753
538,1.08515
539,1.111882
540,1.179287
541,1.232661
542,1.27973
