Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Azami-Green"
Comment,"CoralHue  Series"
Public,1
Excitation
380,0
380.5,0
381,0
381.5,0
382,0
382.5,0
383,0
383.5,0
384,0
384.5,0
385,0
385.5,0
386,0
386.5,0
387,0
387.5,0
388,0
388.5,0
389,0
389.5,0
390,0
390.5,0
391,0
391.5,0
392,0
392.5,0
393,0
393.5,0
394,0
394.5,0
395,0
395.5,0
396,0
396.5,0
397,0
397.5,0
398,0
398.5,0
399,0
399.5,0
400,0
400.5,0
401,0
401.5,0
402,0
402.5,0
403,0
403.5,0
404,0
404.5,0
405,0
405.5,0
406,0
406.5,0
407,0
407.5,0
408,0
408.5,0
409,0
409.5,0
410,0
410.5,0
411,0
411.5,0
412,0
412.5,0
413,0
413.5,0
414,0.057729
414.5,0.1881948
415,0.3139227
415.5,0.4579142
416,0.0280042
416.5,0.00172
417,0.000106
417.5,0
418,0.0845686
418.5,0.233351
419,0.3766543
419.5,0.5627316
420,0.6678137
420.5,0.8591848
421,1.056379
421.5,1.2421916
422,1.4086818
422.5,1.6172578
423,1.8194812
423.5,2.0717311
424,2.2797777
424.5,2.484648
425,2.7104288
425.5,2.9989412
426,3.2027528
426.5,3.4833245
427,3.7797777
427.5,4.0338804
428,4.2509264
428.5,4.6135521
429,4.8438327
429.5,5.190577
430,5.3943886
430.5,5.7702488
431,6.2122816
431.5,6.4769719
432,6.7893065
432.5,7.1519322
433,7.4669137
433.5,7.787189
434,8.1736368
434.5,8.5944944
435,9.0603494
435.5,9.5050291
436,9.753838
436.5,10.219693
437,10.6617258
437.5,11.1011117
438,11.4690312
438.5,11.8448915
439,12.294865
439.5,12.6601376
440,13.033351
440.5,13.578613
441,14.0418211
441.5,14.4891477
442,14.9152991
442.5,15.5240868
443,15.9581789
443.5,16.7151932
444,17.104288
444.5,17.8348332
445,18.4859714
445.5,19.1106406
446,19.8544203
446.5,20.600847
447,21.4028587
447.5,22.1916358
448,22.8877713
448.5,23.8009529
449,24.5553203
449.5,25.301747
450,25.9211223
450.5,26.7337215
451,27.5013235
451.5,28.2159873
452,28.9835892
452.5,29.9629434
453,30.7040762
453.5,31.7098994
454,32.5833774
454.5,33.5627316
455,34.5156167
455.5,35.3890948
456,36.3684489
456.5,37.4007411
457,38.115405
457.5,39.0947591
458,39.9947062
458.5,40.9475913
459,41.9004764
459.5,42.6945474
460,43.4092112
460.5,44.4150344
461,45.1296983
461.5,45.6326098
462,46.2413976
462.5,46.7707782
463,47.2736898
463.5,47.8295394
464,48.332451
464.5,48.7824246
465,49.0471149
465.5,49.3118052
466,49.6029645
466.5,49.8147168
467,50
467.5,50.1852832
468,50.2382213
468.5,50.1058761
469,50.3705664
469.5,50.1323452
470,50.2382213
470.5,50.2382213
471,50.3176284
471.5,50.5293806
472,50.6352567
472.5,50.9528851
473,51.3763896
473.5,51.5616728
474,51.9057702
474.5,52.3292747
475,52.7527792
475.5,53.3350979
476,53.9968237
476.5,54.8967708
477,55.6908417
