Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Cascade Blue"
Comment,"Cascade Blue BSA/pH 7.0"
Public,1
Excitation
300,70.15784
301,63.31419
302,57.55579
303,52.9923
304,48.90162
305,45.71301
306,43.19393
307,41.18695
308,39.72127
309,38.69149
310,37.6957
311,36.91521
312,36.1748
313,35.31733
314,34.45161
315,33.61803
316,32.67321
317,31.83139
318,30.75356
319,29.82706
320,29.00144
321,28.22626
322,27.15905
323,26.62545
324,25.95938
325,25.25826
326,24.92907
327,24.41697
328,24.65325
329,23.98399
330,23.59639
331,23.19553
332,22.88254
333,22.47609
334,22.25044
335,22.05957
336,21.94276
337,22.07257
338,22.47609
339,22.84271
340,23.58577
341,24.5229
342,25.60603
343,27.0372
344,28.79437
345,30.79631
346,32.72338
347,34.7516
348,36.65266
349,38.31956
350,39.92595
351,41.1973
352,42.35238
353,43.60276
354,44.58474
355,45.68646
356,46.79083
357,48.11024
358,49.38212
359,51.11832
360,53.14893
361,55.80632
362,58.72945
363,61.91248
364,64.93889
365,67.45824
366,69.32186
367,70.66781
368,71.58635
369,72.24738
370,72.91106
371,73.46325
372,73.81367
373,74.32843
374,74.72398
375,75.30803
376,75.77022
377,76.60619
378,77.3312
379,77.94975
380,78.11408
381,77.29668
382,75.58969
383,73.27741
384,69.61095
385,64.92268
386,60.87687
387,57.27705
388,54.39931
389,52.38463
390,51.52954
391,51.99438
392,53.68784
393,56.79149
394,61.20606
395,66.71225
396,73.2668
397,80.11071
398,86.94108
399,93.0284
400,97.57861
401,100
402,99.90177
403,97.39278
404,92.56673
405,86.13139
406,78.3108
407,69.7121
408,61.145
409,52.71913
410,44.85287
411,37.60013
412,31.1916
413,25.50249
414,20.71627
415,16.72062
416,13.32017
417,10.70233
418,8.430144
419,6.773324
420,5.284016
421,4.206192
422,3.404462
423,2.738388
424,2.31071
425,1.883563
426,1.482697
427,1.20926
428,1.057939
429,0.8269773
430,0.7977751
431,0.6517646
432,0.5585833
433,0.4470843
434,0.4470843
435,0.3807159
436,0.3302758
437,0.2801014
438,0.325232
439,0.3170022
440,0.298419
441,0.3010738
442,0.3385056
443,0.3807159
444,0.2455898
445,0.3225771
446,0.3515137
447,0.2718717
448,0.2588634
449,0.2801014
450,0.2774466
Emission
380,0.1884722
381,0
382,-0.0432
383,-0.0481
384,-0.00529
385,0.0209929
386,0.0625
387,0.1344739
388,0.1953039
389,0.3065331
390,0.4775848
391,0.6722834
392,1.046643
393,1.498375
394,2.182096
395,3.18042
396,4.511517
397,6.167737
398,8.607944
399,11.30511
400,14.9865
401,19.2156
402,24.09623
403,29.94275
404,36.26126
405,42.35278
406,49.71754
407,56.42556
408,63.30148
409,70.09869
410,75.73592
411,81.70303
412,86.36082
413,90.24995
414,93.67659
415,96.21976
416,98.06164
417,99.5898
418,99.82265
419,100
420,99.87063
421,99.5677
422,98.73058
423,98.0999
424,97.65681
425,96.74801
426,95.97826
427,95.45486
428,94.86732
429,94.48353
430,93.61245
431,93.53374
432,92.62817
433,92.3759
434,91.43098
435,90.87685
436,89.62682
437,88.57948
438,87.17638
439,85.88
440,84.2187
441,82.41508
442,80.57752
443,78.45804
444,76.47062
445,74.58831
446,71.93681
447,69.84481
448,67.55662
449,65.54709
450,63.40443
451,60.97662
452,58.90997
453,57.1484
454,55.14428
455,53.30536
456,51.41939
457,49.8074
458,48.02563
459,46.41327
460,44.65229
461,43.33721
462,41.8214
463,40.42719
464,38.99794
465,37.57888
466,36.40545
467,34.97324
468,33.70155
469,32.6866
470,31.30721
471,30.23453
472,28.95665
473,27.80123
474,26.6809
475,25.56111
476,24.55279
477,23.53822
478,22.44468
479,21.67278
480,20.65406
481,19.81021
482,18.97961
483,18.11306
484,17.33119
485,16.62338
486,15.82238
487,15.13883
488,14.42472
489,13.83124
490,13.20213
491,12.65566
492,12.0493
493,11.60659
494,11.03522
495,10.69735
496,10.26283
497,9.773713
498,9.294943
499,8.888404
500,8.494747
501,8.107666
502,7.64593
503,7.254268
504,6.894355
505,6.571635
506,6.263199
507,5.899567
508,5.630967
509,5.374084
510,5.107467
511,4.850127
512,4.659595
513,4.439075
514,4.235202
515,4.010931
516,3.839556
517,3.70227
518,3.473428
519,3.333942
520,3.176124
521,3.017044
522,2.866772
523,2.68667
524,2.57101
525,2.453624
526,2.35442
527,2.244215
528,2.085043
529,1.972342
530,1.888059
531,1.802449
532,1.696087
533,1.567932
534,1.498526
535,1.427971
536,1.34654
537,1.27411
538,1.159425
539,1.136731
540,1.071805
541,0.9951164
542,0.9387064
543,0.8597757
544,0.8231159
545,0.7530631
546,0.7260844
547,0.6874949
548,0.603659
549,0.5521111
550,0.5338281
551,0.4807786
552,0.4500515
553,0.3838856
554,0.3871068
555,0.3311945
556,0.2863112
557,0.2887067
558,0.194104
559,0.2446433
560,0.1850499
561,0.1492963
562,0.1255039
563,0.0633
564,0.0894
565,0.0644
566,0
567,0.0262
568,-0.0529
569,-0.0534
570,-0.0673
571,-0.0951
572,-0.0822
573,-0.1659206
574,-0.153463
575,-0.1548316
