Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Dronpa-Green3"
Comment,"CoralHue  Series"
Public,1
Excitation
400,6.75048
400.5,6.70633
401,6.81574
401.5,6.88292
402,7.05758
402.5,7.19002
403,7.41459
403.5,7.63916
404,7.82726
404.5,8.07294
405,8.2975
405.5,8.43954
406,8.5547
406.5,8.84645
407,9.14012
407.5,9.30134
408,9.52591
408.5,9.80998
409,10.0825
409.5,10.2284
410,10.4491
410.5,10.6679
411,10.9079
411.5,11.263
412,11.5873
412.5,11.8426
413,12.1324
413.5,12.4184
414,12.6411
414.5,12.9904
415,13.2572
415.5,13.5451
416,13.8503
416.5,14.2399
417,14.6392
417.5,14.9501
418,15.2035
418.5,15.5662
419,15.9309
419.5,16.3954
420,16.7083
420.5,16.9347
421,17.3724
421.5,17.7486
422,18.1689
422.5,18.6603
423,18.9942
423.5,19.3282
424,19.7505
424.5,20.3071
425,20.7869
425.5,21.286
426,21.7658
426.5,22.3033
427,22.6871
427.5,23.2054
428,23.6276
428.5,24.1843
429,24.8369
429.5,25.4127
430,26.0269
430.5,26.5067
431,27.1209
431.5,27.6967
432,28.3877
432.5,29.0979
433,29.7889
433.5,30.4031
434,30.9981
434.5,31.6699
435,32.476
435.5,33.071
436,33.8388
436.5,34.6833
437,35.2591
437.5,35.8925
438,36.6411
438.5,37.4088
439,38.2534
439.5,39.0595
440,39.7889
440.5,40.5566
441,41.4971
441.5,42.38
442,43.167
442.5,43.9731
443,45.1248
443.5,46.2572
444,47.2553
444.5,48.2342
445,49.4626
445.5,50.7294
446,51.881
446.5,52.9559
447,54.5106
447.5,55.6622
448,56.7179
448.5,58.0038
449,59.0787
449.5,60.0384
450,61.2092
450.5,61.881
451,62.6488
451.5,63.4933
452,64.261
452.5,65.2975
453,66.1612
453.5,67.1593
454,67.8311
454.5,68.714
455,69.8081
455.5,70.9405
456,72.1497
456.5,73.2054
457,74.1075
457.5,75.1631
458,75.9501
458.5,76.7179
459,77.4664
459.5,78.4453
460,79.4626
460.5,80.1152
461,80.5758
461.5,81.3436
462,81.8042
462.5,82.4184
463,82.8983
463.5,83.1862
464,83.7236
464.5,84.2802
465,84.8944
465.5,85.2399
466,85.7006
466.5,85.8925
467,86.1036
467.5,86.3916
468,86.5067
468.5,86.4491
469,86.4299
469.5,86.238
470,86.0461
470.5,85.8157
