Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Fluo 4"
Comment,"Fluo-4/Ca 2+"
Public,1
Excitation
300,5.709392
301,5.623751
302,5.53811
303,5.509563
304,5.481017
305,5.452469
306,5.452469
307,5.481017
308,5.509563
309,5.566657
310,5.652298
311,5.709392
312,5.82358
313,5.937768
314,6.137597
315,6.308878
316,6.508707
317,6.76563
318,6.994005
319,7.222381
320,7.336568
321,7.393663
322,7.393663
323,7.308022
324,7.250928
325,7.13674
326,6.879817
327,6.76563
328,6.679988
329,6.508707
330,6.365972
331,6.280331
332,6.251784
333,6.166143
334,6.080502
335,6.166143
336,6.166143
337,6.251784
338,6.365972
339,6.394519
340,6.537254
341,6.622895
342,6.708535
343,6.76563
344,6.908364
345,6.965458
346,7.051099
347,7.165287
348,7.279475
349,7.365116
350,7.450757
351,7.507851
352,7.564944
353,7.707679
354,7.79332
355,7.79332
356,7.907508
357,7.907508
358,7.878961
359,7.964602
360,8.021696
361,7.993149
362,7.993149
363,8.021696
364,7.993149
365,8.050242
366,7.993149
367,7.964602
368,7.936055
369,7.850414
370,7.764773
371,7.79332
372,7.736226
373,7.679132
374,7.564944
375,7.507851
376,7.450757
377,7.393663
378,7.336568
379,7.222381
380,7.13674
381,7.022552
382,6.936911
383,6.879817
384,6.822723
385,6.737083
386,6.622895
387,6.537254
388,6.423066
389,6.251784
390,6.166143
391,6.080502
392,5.937768
393,5.795033
394,5.680845
395,5.509563
396,5.395375
397,5.281188
398,5.138453
399,5.081359
400,4.995718
401,4.88153
402,4.852983
403,4.767342
404,4.653154
405,4.596061
406,4.567514
407,4.481873
408,4.481873
409,4.424778
410,4.424778
411,4.396232
412,4.367685
413,4.396232
414,4.453326
415,4.510419
416,4.567514
417,4.624608
418,4.681702
419,4.824436
420,4.938624
421,5.052812
422,5.195547
423,5.366828
424,5.53811
425,5.795033
426,5.994862
427,6.19469
428,6.508707
429,6.794177
430,7.051099
431,7.393663
432,7.679132
433,7.936055
434,8.335712
435,8.678276
436,8.963745
437,9.420497
438,9.763061
439,10.16272
440,10.70511
441,11.19041
442,11.67571
443,12.36083
444,12.98887
445,13.67399
446,14.67314
447,15.501
448,16.35741
449,17.52783
450,18.52698
451,19.52612
452,20.92492
453,22.09535
454,23.23722
455,24.75021
456,25.94919
457,27.09106
458,28.54696
459,29.71738
460,30.77362
461,32.05824
462,33.00029
463,33.8567
464,34.88438
465,35.59806
466,36.28319
467,37.11105
468,37.76763
469,38.45275
470,39.33771
471,40.16557
472,41.10762
473,42.44933
474,43.76249
475,45.24693
476,47.47359
477,49.50043
478,51.75564
479,55.03854
480,57.86469
481,60.86212
482,64.91579
483,68.25578
484,71.88125
485,76.30602
486,79.70311
487,83.27148
488,87.49643
489,90.49387
490,93.32001
491,96.26035
492,98.00172
493,99.31487
494,100
495,99.80017
496,98.85812
497,96.66001
498,94.23351
499,91.00771
500,86.12617
501,81.81558
502,76.87697
503,70.36826
504,65.2298
505,59.69169
506,52.95461
507,48.07308
508,43.10591
509,37.31088
510,33.22866
511,29.20354
512,24.72167
513,21.66714
514,18.7839
515,15.61519
516,13.58835
517,11.70425
518,9.705967
519,8.421353
520,7.222381
521,5.994862
522,5.195547
523,4.510419
524,3.711105
525,3.225806
526,2.826149
527,2.369398
528,2.083928
529,1.827005
530,1.541536
531,1.370254
532,1.198972
533,1.027691
534,0.9135027
535,0.8278618
536,0.7136739
537,0.6565801
538,0.5709392
539,0.5138453
540,0.4852983
541,0.4567513
542,0.4282044
543,0.3996574
544,0.3711105
545,0.3711105
546,0.3425635
547,0.3140166
548,0.3140166
549,0.3140166
550,0.2854696
551,0.2854696
552,0.2854696
553,0.2569226
554,0.2283757
555,0.2283757
556,0.2283757
557,0.1998287
558,0.1998287
559,0.1998287
560,0.1998287
561,0.1998287
562,0.1998287
563,0.1998287
564,0.1712818
565,0.1712818
566,0.1427348
567,0.1427348
568,0.1427348
569,0.1141878
570,0.1141878
571,0.1141878
572,0.1141878
573,0.0856
574,0.0571
575,0.0285
576,0
577,0
578,0
579,0
580,-0.0285
581,0
582,-0.0285
583,-0.0571
584,-0.0571
585,-0.0571
586,-0.0571
587,-0.0285
588,-0.0285
589,-0.0285
590,-0.0285
591,-0.0285
592,-0.0285
593,0
594,0
595,0
596,0.0285
597,0.0285
598,0
599,0.0285
600,0.0571
Emission
480,0.941344
481,1.081094
482,1.314241
483,1.600454
484,2.030594
485,2.564576
486,3.267749
487,4.012747
488,5.055497
489,6.375955
490,7.818307
491,9.537823
492,11.54181
493,13.86215
494,16.75227
495,19.46974
496,22.49613
497,26.4738
498,30.90791
499,35.7508
500,40.89355
501,46.42442
502,51.61631
503,56.87871
504,62.39551
505,67.83575
506,72.9339
507,77.9823
508,82.46131
509,86.25935
510,89.77137
511,92.9907
512,95.34057
513,97.29032
514,98.78532
515,99.56673
516,100
517,99.45059
518,99.06377
519,98.10335
520,96.79268
521,95.03926
522,92.87209
523,91.10918
524,88.78478
525,86.30917
526,83.60747
527,81.14326
528,78.51254
529,75.92603
530,73.03828
531,70.45006
532,68.13844
533,65.38643
534,63.05942
535,60.6773
536,58.49327
537,56.52495
538,54.48742
539,52.45914
540,50.92834
541,49.17488
542,47.61642
543,46.1741
544,45.00019
545,43.7463
546,42.43855
547,41.34077
548,40.078
549,39.16312
550,38.31845
551,37.27491
552,36.21457
553,35.24352
554,34.37671
555,33.41878
556,32.71833
557,31.61111
558,30.56847
559,29.60226
560,28.68134
561,27.80647
562,26.7204
563,25.80196
564,25.03229
565,24.17806
566,23.4963
567,22.59138
568,21.90058
569,21.03369
570,20.24841
571,19.49148
572,18.74068
573,18.03148
574,17.24209
575,16.60151
576,16.03885
577,15.38026
578,14.8022
579,14.25944
580,13.59103
581,13.11067
582,12.64549
583,12.08969
584,11.60436
585,11.1945
586,10.69578
587,10.27237
588,9.823664
589,9.542763
590,9.184197
591,8.818641
592,8.476113
593,8.290547
594,7.921775
595,7.663904
596,7.418685
597,7.056474
598,6.869364
599,6.535842
600,6.334023
601,6.042059
602,5.828146
603,5.624268
604,5.430811
605,5.264844
606,4.973265
607,4.838862
608,4.773504
609,4.495863
610,4.435524
611,4.12679
612,4.00774
613,3.869863
614,3.772427
615,3.672246
616,3.543633
617,3.433331
618,3.340355
619,3.255999
620,3.152002
621,3.024846
622,2.937317
623,2.79425
624,2.727607
625,2.618334
626,2.536337
627,2.474196
628,2.390483
629,2.287301
630,2.175498
631,2.135185
632,2.022568
633,2.013305
634,1.869638
635,1.812686
636,1.75076
637,1.668033
638,1.638228
639,1.595771
640,1.481438
641,1.457765
642,1.403944
643,1.346092
644,1.331682
645,1.281377
646,1.259549
647,1.166187
648,1.149847
649,1.116825
650,1.043791
