Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Hoechst 33258"
Comment,"Hoechst 33258/DNA"
Public,1
Excitation
300,39.6769
301,38.45545
302,37.22141
303,36.92561
304,35.3896
305,35.1948
306,34.8128
307,34.66686
308,34.92371
309,35.12189
310,35.4566
311,36.36887
312,37.23628
313,38.5789
314,39.7894
315,40.464
316,41.48043
317,42.46042
318,43.44619
319,44.61993
320,45.78345
321,46.98555
322,48.59724
323,50.81538
324,52.35275
325,54.19646
326,56.7771
327,58.17888
328,60.61769
329,61.9741
330,64.20868
331,66.27422
332,68.65628
333,70.89711
334,73.16686
335,75.3623
336,77.50044
337,79.68511
338,81.69334
339,83.72993
340,86.06662
341,87.88255
342,89.65761
343,91.51267
344,93.35072
345,94.70089
346,96.01189
347,97.00977
348,98.09332
349,98.71223
350,99.50587
351,99.73338
352,100
353,99.77251
354,99.46675
355,99.02426
356,98.29754
357,97.25938
358,96.00623
359,94.85462
360,93.22591
361,91.71122
362,90.29298
363,88.46119
364,86.40134
365,84.35963
366,82.36785
367,80.11568
368,77.50611
369,75.07241
370,72.59389
371,69.92192
372,66.97765
373,64.28298
374,61.05508
375,57.85552
376,54.76886
377,51.62037
378,48.376
379,45.16453
380,41.95419
381,39.27032
382,36.24095
383,33.41071
384,30.75518
385,28.14619
386,25.72383
387,23.386
388,21.36643
389,19.28445
390,17.49747
391,15.81259
392,14.41761
393,12.92562
394,11.59758
395,10.45788
396,9.425396
397,8.318606
398,7.451204
399,6.770443
400,5.862207
401,5.334625
402,4.755978
403,4.222719
404,3.814265
405,3.462542
406,2.975234
407,2.839083
408,2.571886
409,2.310929
410,2.226401
411,1.971118
412,1.903042
413,1.846313
414,1.624499
415,1.415167
416,1.403253
417,1.255757
418,1.125846
419,1.176336
420,1.103154
421,1.035078
422,0.8926872
423,1.114501
424,0.830851
425,0.7281708
426,0.6998068
427,0.7060465
428,0.59202
429,0.6317299
430,0.6317299
431,0.371341
432,0.3764468
433,0.3877932
434,0.2578815
435,0.3991386
436,0.3259579
437,0.2295175
438,0.2629872
439,0.1671143
440,0.0644
441,0.1217306
442,-0.0320063
443,0.0593
444,0.1671143
445,0.1103842
446,0.2351902
447,0.1103842
448,0.3032661
449,0.0026
450,0.0707
Emission
357,0.4077889
358,0.4197077
359,0.4248684
360,0.4389125
361,0.4497993
362,0.4668288
363,0.4875132
364,0.5132118
365,0.5307507
366,0.5550021
367,0.5793764
368,0.6105278
369,0.6408948
370,0.6740292
371,0.704393
372,0.7493368
373,0.7941999
374,0.8519521
375,0.9233459
376,1.014933
377,1.128308
378,1.280283
379,1.457847
380,1.68367
381,1.962314
382,2.311262
383,2.724117
384,3.186302
385,3.712878
386,4.285246
387,4.895639
388,5.519201
389,6.173257
390,6.837628
391,7.518101
392,8.202955
393,8.951424
394,9.762893
395,10.63663
396,11.63234
397,12.77458
398,14.0003
399,15.33365
400,16.72409
401,18.25734
402,19.83856
403,21.52398
404,23.23519
405,25.0479
406,26.84147
407,28.69296
408,30.60277
409,32.51728
410,34.58037
411,36.63194
412,38.68056
413,40.83333
414,42.98611
415,45.17361
416,47.32639
417,49.54861
418,51.77083
419,53.95833
420,56.04167
421,58.05556
422,60.20833
423,62.32639
424,64.47916
425,66.49306
426,68.54166
427,70.59028
428,72.5
429,74.375
430,76.25
431,78.09028
432,79.86111
433,81.49306
434,83.125
435,84.61806
436,86.18056
437,87.67361
438,89.09722
439,90.27778
440,91.52778
441,92.56944
442,93.50694
443,94.44444
444,95.27778
445,96.07639
446,96.90972
447,97.63889
448,98.22916
449,98.78472
450,99.16666
451,99.54861
452,99.82639
453,99.86111
454,99.95123
455,100
456,99.82639
457,99.58334
458,99.375
459,99.13194
460,98.92361
461,98.50694
462,98.05556
463,97.63889
464,97.01389
465,96.45834
466,95.83334
467,95.13889
468,94.44444
469,93.71528
470,92.77778
471,91.94444
472,91.07639
473,90.13889
474,89.20139
475,88.19444
476,87.25694
477,86.31944
478,85.13889
479,83.99306
480,82.74306
481,81.42361
482,80.06944
483,78.64584
484,77.22222
485,75.90278
486,74.61806
487,73.36806
488,72.22222
