Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Kaede-Red"
Comment,"CoralHue  Series"
Public,1
Excitation
310,24.7632312
310.5,24.7910864
311,24.9582173
311.5,25.1439183
312,25.5246054
312.5,25.7845868
313,26.007428
313.5,26.2488394
314,26.6295265
314.5,26.8337976
315,27.270195
315.5,27.6787372
316,27.6973073
316.5,27.8830084
317,28.4679666
317.5,28.9600743
318,29.2107707
318.5,29.3686165
319,30.176416
319.5,30.547818
320,30.5849582
320.5,30.9377902
321,31.457753
321.5,31.6805942
322,32.0612813
322.5,32.6926648
323,33.0176416
323.5,33.2869081
324,33.5747447
324.5,34.0204271
325,34.2339833
325.5,34.549675
326,35.0696379
326.5,35.6731662
327,35.9702878
327.5,36.4716806
328,36.8245125
328.5,37.093779
329,37.4094708
329.5,38.4029712
330,38.9879294
330.5,39.2943361
331,39.3500464
331.5,39.5450325
332,40.1392758
332.5,40.4363974
333,40.4735376
333.5,40.5942433
334,40.8635097
334.5,41.0399257
335,41.1977716
335.5,41.2256267
336,41.2163417
336.5,41.1792015
337,41.3370474
337.5,41.2256267
338,41.0399257
338.5,41.0120706
339,41.0584958
339.5,40.6592386
340,40.3806871
340.5,40.5849582
341,40.538533
341.5,40.724234
342,40.7056639
342.5,40.3899721
343,40.6220984
343.5,40.8449396
344,40.9749304
344.5,40.909935
345,41.3463324
345.5,41.6898793
346,41.9777159
346.5,41.9127205
347,41.7734448
347.5,41.643454
348,41.996286
348.5,41.9312906
349,41.8012999
349.5,41.448468
350,41.2441968
350.5,40.8542247
351,40.538533
351.5,40.1299907
352,39.7585887
352.5,39.09935
353,38.8022284
353.5,38.2915506
354,37.8458682
354.5,37.5023213
355,37.1959146
355.5,37.1866295
356,36.8616527
356.5,36.36026
357,36.3045497
357.5,36.1559889
358,35.8960074
358.5,35.9795729
359,36.3231198
359.5,36.3231198
360,36.3974002
360.5,36.0817084
361,35.9424327
361.5,35.645311
362,35.3760446
362.5,35.3946147
363,35.264624
363.5,34.7075209
364,34.001857
364.5,33.5004643
365,32.5905292
365.5,31.643454
366,30.6406685
366.5,29.6564531
367,28.4679666
367.5,27.0380687
368,25.4688951
368.5,24.2896936
369,22.9433612
369.5,21.7641597
370,20.7613742
370.5,19.5450325
371,18.4772516
371.5,17.5023213
372,16.6202414
372.5,15.812442
373,15.0603528
373.5,14.6610956
374,13.9832869
374.5,13.3611885
375,12.6926648
375.5,12.0612813
376,11.5877437
376.5,11.1513463
377,10.6963788
377.5,10.3342618
378,10.0464253
378.5,9.7493036
379,9.5171773
379.5,9.3314763
380,9.1364903
380.5,8.9034355
381,8.7641597
381.5,8.5951718
382,8.4029712
382.5,8.2321263
383,7.9879294
383.5,7.8068709
384,7.6805942
384.5,7.5793872
385,7.3741876
385.5,7.1597029
386,6.9702878
386.5,6.9015785
387,6.8644383
387.5,6.7511606
388,6.5942433
388.5,6.4753946
389,6.3704735
389.5,6.2636955
390,6.1281337
390.5,6
391,5.9452182
391.5,5.8960074
392,5.7520891
392.5,5.632312
393,5.4939647
393.5,5.4038997
394,5.3129062
394.5,5.2896936
395,5.2896936
395.5,5.2479109
396,5.2302693
396.5,5.1736305
397,5.1569174
397.5,5.1207057
398,5.0473538
398.5,5.0278552
399,4.9350046
399.5,4.8653668
400,4.8922934
400.5,4.9684308
401,4.9990715
401.5,5.0120706
402,5.0139276
402.5,4.9972145
403,4.9350046
403.5,4.9702878
404,5.0009285
404.5,5.0408542
405,5.0724234
405.5,5.0343547
406,5.0566388
406.5,5.0492108
407,5.0594243
407.5,5.0176416
408,5.0046425
408.5,5.0167131
409,4.9777159
409.5,5.0278552
410,5.0167131
410.5,5.0631383
411,5.095636
411.5,5.0705664
412,5.1039926
412.5,5.1374188
413,5.1624884
413.5,5.1773445
414,5.1773445
414.5,5.2024141
415,5.2024141
415.5,5.1968431
416,5.2711235
416.5,5.3286908
417,5.4354689
417.5,5.4744661
418,5.4986072
418.5,5.5552461
419,5.5468895
419.5,5.549675
420,5.5923863
420.5,5.632312
421,5.6545961
421.5,5.7409471
422,5.7920149
422.5,5.8477252
423,5.9312906
423.5,6.0064995
424,6.0714949
424.5,6.1699164
425,6.2358403
425.5,6.2785515
426,6.3667595
426.5,6.5004643
427,6.5923863
427.5,6.6155989
428,6.632312
428.5,6.729805
429,6.8449396
429.5,6.9359331
430,7.0687094
430.5,7.1792015
431,7.2553389
431.5,7.3528319
432,7.4206128
432.5,7.5106778
433,7.5636026
433.5,7.6870938
434,7.8644383
434.5,8.0111421
435,8.1197772
435.5,8.2460539
436,8.3918292
436.5,8.5171773
437,8.632312
437.5,8.7400186
438,8.9034355
438.5,9.0213556
439,9.174559
439.5,9.3500464
440,9.5171773
440.5,9.6471681
441,9.7585887
441.5,9.9535747
442,10.185701
442.5,10.3899721
443,10.5013928
443.5,10.6220984
444,10.7613742
444.5,11.0306407
445,11.2256267
445.5,11.4206128
446,11.6527391
446.5,11.8570102
447,12.1355617
447.5,12.367688
448,12.5626741
448.5,12.6926648
449,12.9247911
449.5,13.0454968
450,13.2961931
450.5,13.4168988
451,13.5376045
451.5,13.6675952
452,13.8440111
452.5,13.9832869
453,14.1411328
453.5,14.3175487
454,14.5032498
454.5,14.6239554
455,14.902507
455.5,15.1067781
456,15.3296193
456.5,15.6731662
457,15.7381616
457.5,16.0259981
458,16.4252553
458.5,16.5738162
459,16.8152275
459.5,17.0287837
460,17.3630455
460.5,17.7623027
461,17.9758589
461.5,18.2172702
462,18.4772516
462.5,18.6629526
463,18.8579387
463.5,19.2293408
464,19.6007428
464.5,19.8792943
