Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"SYTOX Green nucleic acid stain"
Comment,"SYTOX Green/DNA"
Public,1
Excitation
300,12.9271
301,13.3145
302,13.583
303,13.7632
304,13.7163
305,13.6172
306,13.4568
307,13.21
308,12.9433
309,12.6099
310,12.291
311,11.9126
312,11.5846
313,11.1648
314,10.7629
315,10.4764
316,10.1593
317,9.8602
318,9.6385
319,9.3845
320,9.152
321,8.934
322,8.7718
323,8.5826
324,8.4312
325,8.3105
326,8.1357
327,8.0276
328,7.9285
329,8.9448
330,8.8583
331,8.8583
332,8.7105
333,8.5754
334,8.5213
335,8.4565
336,8.4979
337,8.379
338,8.3556
339,8.3213
340,8.3429
341,8.3357
342,8.3646
343,8.4114
344,8.5015
345,8.5592
346,8.6403
347,8.7286
348,8.8547
349,8.9916
350,9.1268
351,9.1989
352,9.3232
353,9.4331
354,9.5755
355,9.6079
356,9.6926
357,9.7485
358,9.7953
359,9.7899
360,9.8458
361,9.8331
362,9.7521
363,9.8169
364,9.7683
365,9.725
366,9.6926
367,9.6349
368,9.5484
369,9.4583
370,9.3538
371,9.2547
372,9.0943
373,8.9196
374,8.779
375,8.4799
376,8.2691
377,7.9916
378,7.7357
379,7.4077
380,7.0492
381,6.7572
382,6.4996
383,6.114
384,5.7572
385,5.6148
386,5.386
387,5.0436
388,4.7643
389,4.4886
390,4.2526
391,4.0327
392,3.8165
393,3.5876
394,3.4381
395,3.2543
396,3.1119
397,2.9786
398,2.8885
399,2.7768
400,2.7209
401,2.6669
402,2.5984
403,2.5353
404,2.4795
405,2.4795
406,2.4488
407,2.4398
408,2.4452
409,2.4398
410,2.438
411,2.465
412,2.4921
413,2.5065
414,2.5443
415,2.5696
416,2.6362
417,2.7137
418,2.7497
419,2.7966
420,2.9227
421,2.9768
422,3.0795
423,3.2255
424,3.3588
425,3.4129
426,3.5985
427,3.7516
428,3.9282
429,4.1048
430,4.3102
431,4.5283
432,4.8021
433,5.0166
434,5.3229
435,5.6635
436,5.9446
437,6.3176
438,6.7068
439,7.123
440,7.5573
441,7.988
442,8.4943
443,8.9682
444,9.4692
445,10.0818
446,10.6188
447,11.2404
448,11.8153
449,12.4766
450,13.1451
451,13.8496
452,14.6047
453,15.4065
454,16.221
455,17.1184
456,18.1148
457,19.212
458,20.2898
459,21.4538
460,22.7566
461,24.0846
462,25.5856
463,27.0848
464,28.7228
465,30.368
466,32.132
467,33.9412
468,35.7737
469,37.6063
470,39.4155
471,41.2048
472,43.0013
473,44.6483
474,46.2682
475,47.7908
476,49.2396
477,50.6054
478,51.8938
479,53.0903
480,54.1967
481,55.3463
482,56.4545
483,57.6744
